"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Supreme Components International","Supreme Components International is a leading distributor of electronic components worldwide, providing semiconductors, electronic components, and lighting solutions to over 2500+ customers across the globe.
The company has grown on to provide more than just components - it provides value-added solutions to satisfy customers' needs. A strong and long list of franchise lines enables SCI to provide an extensive component portfolio for customers to choose from.","Appliances, Electrical, and Electronics Manufacturing","11-50 employees","Privately Held","Singapore","Singapore","supremecomponents.com","https://www.linkedin.com/company/supreme-components-international"
,"Jungheinrich Singapore","The increase of global distribution flows and the steadily accelerating pace of IT development are changing the face of intra-company logistics. The result is that made- to- measure, all-round solutions are replacing the classic product offering.

Jungheinrich AG is one of the leading international suppliers in the fields of material handling equipment, warehousing technology and material flow technology.

We offer our customers a comprehensive product range of forklift trucks, shelving systems, services and advice for complete intralogistics.

As an intralogistics service and solution provider with manufacturing operations, we maintain a close-knit net-work providing competent consulting and comprehensive service with more than 850 salesman as well as more than 3,700 mobile service engineers all around the globe.

In short, we give you the good feeling that you can rely entirely on us in all question of intra-company logistics.

Jungheinrich Singapore is bizSAFE certified. It is administered by the Ministry of Manpower (MOM) and Workplace Safety and Health Council (WSHC) that recognize our efforts in managing safety and health hazards in our workplaces.","Industrial Machinery Manufacturing","51-200 employees","Privately Held","Singapore, Singapore","Singapore","jungheinrich.com.sg","https://www.linkedin.com/company/jungheinrich-singapore"
,"Demag Cranes","Welcome to our page! We are excited to announce that we have officially changed our page name from MHE-Demag to Demag Cranes and Components SouthEast Asia.
The acquisition of MHE-Demag by Konecranes was completed on December 5, 2019.

As a proud member of the Konecranes Group, Demag continues to be your go-to provider for original Demag equipment and services across the SEAP region. 
Our expertise lies in delivering tailored solutions to various industries, including general manufacturing and aerospace. We engineer, manufacture and maintain a comprehensive range of industrial cranes and hoists. We provide specialized maintenance services and spare parts for all types and makes of overhead cranes and hoists.

This page is entirely owned and managed by the Konecranes Group.","Industrial Machinery Manufacturing","201-500 employees","Public Company","Singapore","Singapore","demagcranes.com","https://www.linkedin.com/company/demag-cranes-components-seap"
,"DENKA SINGAPORE PRIVATE LIMITED","In 1980, to manufacture acetylene black, Denka Co Ltd established Denka Singapore Pte Ltd (DSPL) as a pioneer member of the first Singapore Petrochemical Complex project.

Denka Advantech Pte Ltd (DAPL) was subsequently established in 1989 to produce fused silica filler, used primarily in semiconductor packaging. Denka’s fused silica filler boasts outstanding purity, capturing the greatest market share in the industry.

In 1996, DSPL set up a manufacturing plant for polystyrene on Seraya Island, and after its expansion in 2006 and 2012, the plant has become the world’s largest styrenic resins production chain.

With the incorporation of Denka Chemicals Holdings Asia Pacific Pte Ltd (DCHA) in 2009, Denka Co Ltd has enhanced the group management function of Singapore for the Asia Pacific region.

In 2013, DAPL set up a plant in Tuas South to manufacture the synthetic fiber, ‘Toyokalon’. Established in the same year, Denka Infrastructure Technologies Pte Ltd (DIPL) markets special cement additives in India, Hong Kong, Taiwan and the ASEAN region.

In 2015, DCHA acquired a Malaysian company and renamed it Denka Infrastructure Malaysia Sdn Bhd (DISB). DISB’s subsidiary company, Denka Construction Solutions Malaysia Sdn Bhn, produces building materials used in waterproofing, flooring, surface treatments and coatings.","Chemical Manufacturing","51-200 employees","Privately Held","Singapore","Singapore","denka.com.sg","https://www.linkedin.com/company/denka-singapore-private-limited"
,"Delfi Limited","Headquartered in Singapore and listed on the Mainboard of the SGX-ST since November 2004, Delfi Limited markets and distributes its Own Brand of chocolate confectionery products in its core markets of Indonesia, Philippines, Singapore and Malaysia. In addition, our chocolate confectionery products are sold in over 10 other countries including Thailand, Brunei, India, South Korea and Vietnam.

The Group has an established portfolio of chocolate confectionery brand names in Indonesia including ""SilverQueen"" and ""Ceres"" which were introduced in the 1950's and ""Delfi"" in the 1980's. In the Philippines, its flagship brands are ""Goya"" and ""KnickKnacks"". With the Group's longstanding presence and legacy in these markets, our chocolates have delighted many generations of Indonesians and Filipinos, who grew up eating them.

In addition to a well established portfolio of chocolate confectionery brands and an extensive sales and distribution network in its core markets, the Group's confectionery business is supported by two manufacturing facilities, one in Indonesia and the other, in the Philippines. The Group also distributes a well known portfolio of Agency Brands.","Manufacturing","501-1,000 employees","Public Company","bandung","Singapore","delfilimited.com","https://www.linkedin.com/company/delfilimited"
,"Renew Group Private Limited","Renew Group is an international conglomerate involved in the R&D, manufacturing, and distributing of multi-industrial products that include Medical Devices, utility systems, and smart connected devices for Water and Energy conservation. Renew Group has built a team of more than 250 professionals, selling products in over 20 countries in Asia, Europe and the United States.","Manufacturing","11-50 employees","Privately Held","Singapore","Singapore","renewgpl.com","https://www.linkedin.com/company/renewgpl"
,"Legrand Singapore","As the global specialist in electrical and digital building infrastructures, Legrand is well-established in Singapore as a solutions provider across all verticals. 

Established as a regional office, Legrand Singapore is your source of information for the South East Asia region. With the award winning designs and meticulous attention to details, Legrand products are well recognised for quality assurance worldwide. Offering over more than 215,000 products, Legrand answers to all  requirements ranging from Residential, Industrial and Commercial projects.","Appliances, Electrical, and Electronics Manufacturing","201-500 employees","Public Company","Singapore, Singapore","Singapore","legrand.com.sg","https://www.linkedin.com/company/legrand-s-pte-ltd"
,"ORAPI ASIA","Present in more than 150 countries, ORAPI (Office of Research and Application of Products for Industry) is the French leader in professional hygiene and industrial maintenance.

Opening in the 70’s in Paris, Guy Chifflot was one of the founding members of ORAPI. By the end of 1992, this visionary entrepreneur became the majority shareholder and gave ORAPI its innovative intuition with a complete dimension in Europe.

In 2004, ORAPI established its first Asia subsidiary in Singapore and reinforced its regional expansion in 2006 with the acquisition of APPLIED CHEMICALS in both Singapore and Malaysia. Later in 2011, ORAPI pursued its expansion in Thailand with the acquisition of Complete Care System Co. Ltd.
In 2012 ORAPI incorporated its first Middle East subsidiary in Dubai to enhance his presence in the Middle East region.

ORAPI markets and distributes its products through 32 wholly owned subsidiaries, together with a network of carefully selected distributors located in Europe, Asia, America and Middle East.","Chemical Manufacturing","51-200 employees","Public Company","Singapore, Singapore","Singapore","orapiasia.com","https://www.linkedin.com/company/orapi-asia"
,"MEDs Technologies","MEDs Technologies serves companies in the electronics industry, addressing their most challenging RF and Microwave connectivity requirements. We also provide PCB design services targeted at systems designers, integrators and product designers in the field of RF technologies across Asia and the world. We also offer foundry-related services for product designers, system designers and integrators.

Established in 1996, we serve Asia and the world from Singapore and through our network of sales offices across the region. Our customers come from a range of industries such as aviation and automotive to research institutions, as well as industrial and commercial applications.

MEDs Technologies is a member of the Synesys Technologies Holdings group of companies.","Appliances, Electrical, and Electronics Manufacturing","51-200 employees","Privately Held","Singapore, Singapore","Singapore","meds-tech.com","https://www.linkedin.com/company/medstech"
,"AMT Pte. Ltd.","At AMT, our goal is to be your strategic contract manufacturing partner to help you deliver more innovative and effective solutions. 

We apply over 30 years of experience delivering quality and compliant products that help organizations efficiently prototype and/or commercialize medical devices to meet today’s market demands. Given our team’s experience adhering to the strict standards of IP protection as well as regulatory requirements stipulated by US FDA and European EMA, we can help our customers worry less about compliance and more about their areas of expertise. Furthermore, thanks to our relationship with suppliers across Asia, combined with a streamlined supply chain process, our customers also benefit from a holistic and efficient manufacturing process that ensures value, protects their business interests, and provides peace of mind.

Through our advanced core capabilities in Metal / Ceramic Injection Molding technologies, we help bring designs to life for market leaders in the Medical, Industrial, Automotive, and Electronics industries. By vertically integrating our Class 10,000 clean room plastic injection molding and tooling capabilities, it enables us to offer a broad range of medical OEM solutions. 

We do business across 30 countries and are made up of 350 passionate employees dedicated to advancing manufacturing possibilities to help you and your organization bring ideas to life.

Certifications
- ISO 9001
- ISO 13485
- IATF 16949 

Capabilities
- 3D metal printing services
- Tooling fabrication services
- Metal Injection Molding (MIM)
- Ceramic Injection Molding (CIM)
- Cooper Injection Molding 
- Class 100K Cleanroom Plastics Injection Molding
- Class 100K Cleanroom Assembly Services

Achievements
- 15 inventions 
- 29 patents in 12 countries
- 7 grand prizes and 4 distinction awards for outstanding application of powder metallurgy technology","Industrial Machinery Manufacturing","201-500 employees","Privately Held","Singapore","Singapore","amt-mat.com","https://www.linkedin.com/company/amt-pte-ltd"
,"FLEXXON","We are a next-generation storage device manufacturer, specializing in hardware-based cybersecurity solutions and industrial NAND flash storage devices. We specialize in standard or customized products and solutions to serve a broad spectrum of industries with a critical focus on Cybersecurity, Industrial, Medical, and Automotive (C.I.M.A) applications.

Founded in 2007 and headquartered in Singapore, Flexxon is a global company with a presence in Asia-Pacific, Europe, North America, and the Middle East. We are proudly backed by Heliconia Capital Management, a wholly-owned subsidiary of Temasek Holdings. 

Rooted in our strong pedigree as a leading industrial NAND flash storage solutions provider, we are committed to protecting the fundamental rights of all digital citizens through constant innovation to address the evolving cybersecurity needs of today. We diversified our product offerings and introduced the X-PHY brand, the world’s first AI-embedded firmware-based cybersecurity solution.","Appliances, Electrical, and Electronics Manufacturing","51-200 employees","Privately Held","Singapore, Singapore","Singapore","flexxon.com","https://www.linkedin.com/company/flexxon-global-ltd"
,"Mandom Corporation Singapore","Founded in 1927, Mandom Corporation Japan is a manufacturer and distributor of consumer products. To expand its global footprint, the company set its sights on countries such as Hong Kong, Thailand, Malaysia and Singapore.

From hair wax, cosmetics to shampoo, there is something for everyone to meet their daily needs. Some of the brands Mandom carries are: GATSBY, LUCIDO-L, Moist Diane and Heroine Make. 

Mandom Corporation prides itself as a human orientated company, with its key focus on Oyakudachi (dedication to service). The company is constantly seeking ways to improve consumers' lives with suitable products, which is made possible through years of research and development.","Manufacturing","11-50 employees","Privately Held","SINGAPORE","Singapore","mandom.co.jp","https://www.linkedin.com/company/mandomcorporationsingapore"
,"Cosmostar Singapore Private Limited","Cosmo is known as the leading textile manufacturing company for the footwear industry worldwide.

We pride ourselves in our ability to service our customers using a versatile, multi-faceted manufacturing platform offering Performance Linings; Fashionable Uppers; Strobel and Insole Board; Waterproof Systems; Soft, Breathable Laminations; One-Piece Jacquards; Bio-Based and Recycled Materials; and multiple value-added finishes.

We are pleased to offer environmentally-friendly, sustainable options at key price points. We also take great effort in working on R&D exclusive partnerships with key brands.

Cosmostar Singapore Private Limited serves as our corporate Asia HQ, and we proudly adopt six Tripartite Standards:
1) Recruitment Practices
2) Employment of Term-Contract Employees
3) Flexible Work Arrangements
4) Grievance Handling
5) Age-Friendly Workplace Practices
6) Work-Life Harmony

https://www.tal.sg/tafep

Cosmo Careers: https://cosmo.darwinbox.com/ms/candidate/careers","Textile Manufacturing","11-50 employees","Privately Held","Singapore","Singapore","cosmofabric.net","https://www.linkedin.com/company/cosmostar-singapore-private-limited"
,"COIM Asia Pacific Pte Ltd","COIM Asia Pacific Pte Ltd (COIM AP) is a fully owned subsidiary of COIM S.P.A and was incorporated in 1997. The manufacturing facility is located at 10 Seraya Place, Jurong Island. It produces a variety of polyurethane and other specialty chemical products such as Diexter, Isoexter, Urexter, Imuthane and Novacote products using a number of raw materials and other substances.","Chemical Manufacturing","51-200 employees","Privately Held","Jurong Island, Singapore","Singapore","coimgroup.com","https://www.linkedin.com/company/coim-asia-pacific-pte"
,"HELM ASIA","HELM is one of the world’s largest independent chemicals marketing companies established in Hamburg in the year 1900. The Company secures access to the world’s key markets through its specific regional knowledge and over 100 branches, sales offices and participations in over 30 countries. As a multifunctional marketing organization, HELM is active in the chemicals industry (Feedstocks and Derivatives), in the crop protection industry, pharmaceuticals and in the fertilizer industry. Our services range from international marketing, distribution, logistics, production and project development to scientific and technical services. 

Our Vision: 	As a family-owned, global company we will be a leading 
                        partner of choice for the chemicals, life science and 
                        agricultural industries.

Our Mission: 	We have leading expertise in marketing, distribution, logistics 
                        and product & project development.
                        For selected products we invest into production joint ventures.
                        Our global team is committed, reliable and strong in 
                        implementing creative solutions.
                        We have a long-term commitment to our business partners 
                        and our employees.
                        We create sustainable values to all our stakeholders.
                        Fairness & social responsibility as well as compliance & 
                        sustainability are our fundamentals.

Helm Asia, with our regional head office in Singapore, together with our country offices in China (Shanghai, Tianjin, Chengdu & Guangzhou), Japan, India, South Korea (Seoul & Busan) and Thailand supports our business partners in Asia to extend their  regional and global reach leveraging on our global network.  We have an ambitious plan to expand our business and operations in Asia.

Our website: 
https://www.helmag.com/
https://www.helmasia.com/","Chemical Manufacturing","51-200 employees","Privately Held","Singapore","Singapore","helmasia.com","https://www.linkedin.com/company/helm-asia-pte-ltd"
,"Wavelength Opto-Electronic","Wavelength Opto-Electronic (S) Pte Ltd was set up in 2011 with our core business in optical design and manufacturing laser optics, infrared optics, optical modules, complex system customization and optics rapid prototyping. 

We manufacture industrial laser machine process heads for the international laser application market. We also collaborate in extensive research and development, developing small-to-large scale customized complex optical systems and providing QA/QC metrology solutions for customers in the international market and Singapore.","Appliances, Electrical, and Electronics Manufacturing","51-200 employees","Privately Held","Bukit Batok, Singapore","Singapore","wavelength-oe.com","https://www.linkedin.com/company/woe-sg"
,"KSB Asia South & Pacific","ABOUT KSB SINGAPORE (ASIA PACIFIC) PTE LTD

KSB Singapore was established in 1988 as a regional center for distribution and sales of KSB manufactured products in Singapore and Asia South Region. 


ABOUT KSB GROUP

KSB is one of the world’s leading suppliers of pumps, valves and related systems.

KSB combines innovative technology and excellent service to provide intelligent solutions. This approach means that KSB employees are close to customers on all continents, providing them with pumps, valves and systems for almost all applications involving the transportation of liquids. A comprehensive range of services rounds off this customer-focused portfolio.

KSB has been growing continuously since it was founded in 1871. Today the Group has a presence on all continents with its own sales and marketing companies, manufacturing facilities and service operations. More than 15,600 employees generate annual consolidated sales revenue of two billion euros. 


KSB WORLDWIDE

With production plants, sales offices and agents in more than 100 countries, KSB is close to its customers throughout the world. Direct contact with local KSB specialists makes it easier for companies to implement their projects quickly, flexibly and at a high level of quality. 


FROM A SINGLE SOURCE: PUMPS AND VALVES, SERVICES AND SYSTEMS:

• Pumps and valves for industrial applications
• Comprehensive KSB services and original spare parts
• Pumps, valves and systems for building services
• Automation and drive solutions
• Pumps, valves and systems for renewable energy applications
• Slurry pumps for mining, suction dredgers and the oil sand industry
• Pumps, valves and systems for water applications
• Pumps, valves and systems for waste water applications
• Pumps, valves and systems for energy applications

KSB IN THE MEDIA
https://www.facebook.com/ksbasp/
https://www.linkedin.com/company/ksb-singapore-asia-pacific
https://www.youtube.com/channel/UCCCScIHonqNkHb30wBzARvg","Industrial Machinery Manufacturing","51-200 employees","Public Company","Singapore","Singapore","ksb.com","https://www.linkedin.com/company/ksb-singapore-asia-pacific"
,"Tractors Singapore Limited","Established on 20 January 1966, Tractors Singapore Limited (TSL) is the leading equipment dealer in Singapore. We are a full line Cat dealer distributing Cat machines and engines for the service territories of the Republic of Singapore, the Republic of Maldives and Christmas Island (Indian Ocean). 

Our ties with Caterpillar go back to the 1920s when our parent company - Sime Darby - acquired the Cat dealership for Sarawak. Apart from the Cat dealership, TSL is also the dealer for Hyster Lift Truck, Parker filters, New Holland Industrial and Agricultural equipment and Sullair Air Compressors. We offer a full range of services including sales, rental, parts and service support.

A Sime Company","Machinery Manufacturing","201-500 employees","Privately Held","Singapore","Singapore","tractors.com.sg","https://www.linkedin.com/company/tractors-singapore-ltd-"
,"Prostech","Specialty Materials & Manufacturing Solutions","Manufacturing","51-200 employees","Partnership","Singapore, Singapore","Singapore","prostech-asia.com","https://www.linkedin.com/company/prostech"
,"Tokimeku","Tokimeku is an automation solutions provider and systems integrator with expertise in laser and joining technologies.

Specializing in modular, ""bite-sized"" automation, we empower manufacturers to adopt automation incrementally—without disrupting existing workflows. Each solution is tailored to meet specific operational requirements, whether automating an entire production line or a targeted process. By leveraging customers’ existing equipment and integrating standalone systems to work cohesively, we help our customers avoid large capital expenditures or risky overhauls.

We offer comprehensive engineering consultancy, proof-of-concept development, and design-for-manufacturing (DFM) proposals—each supported by dependable, regionally based service and technical support.

At Tokimeku, we are committed to fully understanding your operational needs and providing expert guidance that aligns with your strategic objectives. Coupled with high-quality offerings from certified brand partners, we deliver bespoke automation solutions that integrate seamlessly into your operations.","Appliances, Electrical, and Electronics Manufacturing","51-200 employees","Privately Held","Singapore","Singapore","tokimeku.com","https://www.linkedin.com/company/tokimeku"
,"CREG TBM Singapore Branch","CREG - China Railway Engineering Equipment Group Co., Ltd. - is a leading TBM supplier with a capacity to manufacture up 280 metro-size TBM per year. Headquartered in the center of China, CREG provides full-range TBM solutions together with its up-to-date technical solutions highly oriented towards project challenges and customer expectations. As of now, CREG has manufactured over 1000 TBMs and bored through more than 2000km of tunnels. Other than China, CREG has also established its presence in 21 countries. CREG is able to produce all types of TBM namely EPB TBM, Slurry TBM, Single/double-shield TBM, Gripper TBM and multi-mode TBM with boring dia. ranging from 3 m to 16 m. These TBMs have achieved exceptional performances and are highly appreciated by customers worldwide. This speaks of CREG's strong commitment to provide technical assistance and manufacturing quality at the highest level. Other than TBM manufacturing, CREG also produces a wide range of auxiliary tunneling equipment such as shaft boring machine, drilling jumbo, roadheader, disc cutters, locomotives, rollign stocks as well as tunneling formworks and building structures. CREG Singapore Branch - Subsidiary of CREG China – is established in 2015 to render full support for Southeast Asia region particularly the after sales service. To date, CREG has supplied over 20 TBMs in Singapore and as of the end of 2019, more than half of the projects have been successfully completed.","Industrial Machinery Manufacturing","11-50 employees","Public Company","新加坡","Singapore","crectbm.com","https://www.linkedin.com/company/creg-singapore"
,"Tee Yih Jia Food Manufacturing Pte Ltd","Tee Yih Jia Food Manufacturing Pte Ltd is the leading frozen food manufacturer in Singapore, exporting more than 90% of its renowned Spring Home products to countries such as Europe, North America, South Africa, Middle East and Asia Pacific.  

Having achieved top spot in Singapore’s prestigious Enterprise 50 Awards in 2000, Tee Yih Jia’s flagship brand “Spring Home”, which won the Singapore Promising Brand Award amongst regional brands in 2007, is known the world over for its extensive range of frozen convenience food products such as spring roll pastry, roti paratha, Indian samosa, crepes, glutinous rice balls, and cocktail prawn rolls, just to name a few. Its brand portfolio has also expanded to other complementary brands such as “Happy Belly” and “Master Chef” targeted at specific niche markets.

As a Singapore International Company, Tee Yih Jia has world-class manufacturing facilities in Singapore, Malaysia, China and the United States, which hold international certifications of quality controls and hygiene such as HACCP and BRC.","Food Production","201-500 employees","Privately Held","Singapore","Singapore","tyjfood.com","https://www.linkedin.com/company/tee-yih-jia-food-manufacturing-pte-ltd"
,"FUCHS Lubricants India & Southeast Asia","Worldwide Number 1 - the world's leading supplier of lubricants among the independent companies
 
FUCHS is a global Group with German roots that develops, produces and distributes lubricants and related specialties. FUCHS is a globally operating corporation, employing worldwide almost 5.000 employees in more than 50 operating companies in more than 40 countries.

We have more than 100,000 customers, including companies from the following fields: automotive suppliers, OEM, mining and exploration, metalworking, agriculture and forestry, aerospace, power generation, mechanical engineering, construction and transport, as well as the steel, metal and cement industries, yet also companies in the food industry, the glass production sector and the casting and forging industry – and many others. 

In close contact with its customers, FUCHS develops holistic, innovative and custom-made solutions for the most diverse applications. As a lubricant manufacturer, FUCHS stands for performance and sustainability, for safety and reliability, for efficiency and cost savings. FUCHS stands for a promise: technology that pays back.

In the region India & Southeast Asia FUCHS has 7 wholly owned subsidiaries in India, Indonesia, Malaysia, Singapore, Taiwan, Thailand and Vietnam and a regional office located in Singapore. 

For more information: http://www.fuchs.com/group/","Chemical Manufacturing","201-500 employees","Public Company","Singapore","Singapore","fuchs.com","https://www.linkedin.com/company/fuchs-lubricants-india-&-southeast-asia"
,"Chong Lee Leong Seng Singapore Co Ltd","About Chong Lee Leong Seng
Established in 1959, CLLS Co Ltd (or CLLSE Sdn Bhd) is a leading distributor and OEM of engineering equipment for the marine and industrial sectors. We put the needs of our customers first, providing quality products, services and after-sales support.

Find out more about us.","Industrial Machinery Manufacturing","51-200 employees","Public Company","Singapore","Singapore","clls.com","https://www.linkedin.com/company/chong-lee-leong-seng-singapore-co-ltd"
,"UTOC Engineering Pte Ltd","Nature of Business:

Process Mechanical Works (Process & Utilities) including: Piping works, fabrication & installation

# Equipment, assembly & erection
# Plant maintenance & shutdown
# Structural & general steel fabrication & installation","Industrial Machinery Manufacturing","201-500 employees","Privately Held","Singapore","Singapore","utoc.com.sg","https://www.linkedin.com/company/utoc-engineering-pte-ltd"
