"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Dragon Aviation Capital (Singapore) Pte. Ltd.","Dragon Aviation Capital (DAC) is one of the most trusted independent technical advisors to the aviation industry and handles all aspects of technical consulting services, asset management and also provides aviation-focused advisory.

Headquartered in Singapore with regional offices in Hong Kong and Shanghai, Dragon Aviation Capital(DAC) is uniquely positioned in the industry and has the capability to provide a seamless approach on all technical services, for both aircraft operators and financiers, covering the entire aircraft& engine life-cycle from pre-acquisition and delivery phase through to commercial operation and asset redelivery, sale or part-out 

Dragon Aviation Capital(DAC) ’s services are tailored to the client's specific requirements, advising on all aspects of commercial and management exposure to maximize asset value while minimizing transactional risk and techno-commercial exposures. Services are performed by a team of experienced professionals from all areas of the aviation and aerospace industry . Dragon Aviation Capital(DAC) focuses on providing reliable and timely services to customers around the globe.

Leveraging on its founder’s relationships developed in the course of technical consultation, the company had secured the rights to purchase brand new aircraft engines - IAE V2527-A5 for A320s from the manufacturer which are extremely hard to come by in the market. The company had also secured commitments from airlines in Asia Pacific to lease x3 spare engines from the company. As a result, the company is foraying into the engine leasing segment to provide an end to end integrated solution (spare engine provision) for its’ customers.","Aviation and Aerospace Component Manufacturing","11-50 employees","Privately Held","Paya Lebar Square, Singapore","Singapore","dragonaviationcapital.com","https://www.linkedin.com/company/dragon-aviation-company-singapore-pte-ltd"
,"JB Cocoa","JB Cocoa is a global producer of premium cocoa ingredients - mass, butter, powder - that are produced and sold by public-listed JB Foods Limited (SGX:BEW) to worldwide customers ranging from international trade houses to end users. JB Cocoa has presence in over 65 countries in Asia, the Americas, Europe and Africa, and a cocoa bean processing capacity of 180,000 tonnes per year.","Food and Beverage Manufacturing","501-1,000 employees","Public Company","Singapore","Singapore","jbcocoa.com","https://www.linkedin.com/company/jbcocoa"
,"IRVINS","IRVINS is a high-growth homegrown consumer food brand expanding quickly on the global stage, with 5 offices and 12 markets worldwide, and a product lineup that redefines the food industry.

Founded in 2008, over the years we have pivoted and evolved from an F&B restaurant into a modern food CPG startup. With IRVINS’ global reach, category and market leadership, and startup mentality, we welcome people with a builder attitude keen on building things from scratch and help turn a homegrown brand into Singapore’s iconic global consumer brand.","Food and Beverage Manufacturing","201-500 employees","Privately Held","Singapore, Singapore","Singapore","eatirvins.sg","https://www.linkedin.com/company/irvinsaltedegg"
,"Plantations International","Plantations International is a multinational plantation and farm management company whose specialty is in providing sustainable agricultural and forestry management services for its clients.  Plantations International has clients ranging from private individuals to large land holders and institutional investors, we put teamwork, innovation and our passion for creating “ethical & sustainable capital” at the heart of everything we do. 

From the preconceptual planning stage to harvesting and marketing the final products, we strive to go the extra mile to exceed our clients’ expectations. Call Plantations International today and find out what we can do for you.","Food and Beverage Manufacturing","501-1,000 employees","Privately Held","Singapore","Singapore","plantationsinternational.com","https://www.linkedin.com/company/plantations-international"
,"Strategic Marine","Strategic Marine is a leading shipbuilder with an international outlook and an established reputation for producing quality, high performance commercial & governmental vessels for markets across the globe.

Strategic Marine has built and delivered over 600 vessels made of both aluminium and steel for a variety of clients in the maritime, offshore, tourism and naval defence sectors. Aluminium is Strategic Marine’s specialty. Strategic Marine’s solid reputation for building high-performance vessels, historically focused on aluminium, has also become associated with steel-based construction over the last few years.

Beyond shipbuilding, the company offers Service and Maintenance, Fabrication and Engineering, and Marine Logistics services.

The company is expanding on its position as a leading global shipbuilder by consolidating and strengthening its position in the European wind farm vessel and workboat sectors of the market. This comes off the back of several successful recent newbuild contracts for the European market over the last few years.

Strategic Marine is committed to delivering high quality products and pride ourselves in providing the first-class service that our clients deserve.

Our Values:
INTEGRITY & ACCOUNTABILITY
PROFESSIONALISM
OWNERSHIP FOR SAFETY & ENVIRONMENT
TEAMWORK
STAKEHOLDER FOCUS","Shipbuilding","51-200 employees","Privately Held","Singapore","Singapore","strategicmarine.com","https://www.linkedin.com/company/strategic-marine"
,"VFlowTech","VFlowTech is a Singapore headquartered deep tech company pioneering vanadium redox flow battery (VRFB) systems for long-duration energy storage. Established in 2018, VFlowTech focuses on developing safe, scalable, and sustainable energy storage solutions. The company has installed their long duration energy storage systems in over 10 countries globally and is supporting Singapore’s ambition to be a global leader in clean energy innovation and with the vision to drive the world towards energy equity where everyone can access clean energy at affordable pricing.

HQ: VFlowTech Pte. Ltd. 
Subsidiaries: VFlowTech India India Pvt. Ltd. | VFlowTech Australia Pty. Ltd.","Renewable Energy Equipment Manufacturing","51-200 employees","Privately Held","Singapore","Singapore","vflowtech.com","https://www.linkedin.com/company/vflowtech"
,"HipVan"," 12,000 Affordable & Stylish Furniture
Visit us at Clarke Quay, 11am - 9pm
 Shop for your dream home today!
https://www.hipvan.com
https://www.communa.sg

For B2B orders, drop us an email at: b2b@hipvan.com","Furniture and Home Furnishings Manufacturing","51-200 employees","Privately Held","Singapore","Singapore","hipvan.com","https://www.linkedin.com/company/hipvan"
,"Drone Logistics Ecosystem","We are a free-of-charge Global Drone Delivery Association with the objective to stimulate product, service and business development in the drone delivery industry through collaboration and entrepreneurship. 

We are welcoming Companies, Startups, Incubators/Accelerators, and Investors to join us to have a positive impact on the drone delivery industry.","Aviation and Aerospace Component Manufacturing","2-10 employees","Partnership","The Central Singapore","Singapore","dronelogisticsecosystem.com","https://www.linkedin.com/company/dronelogisticsecosystem"
,"ROTORTRADE","Established in 2012 by industry expert Philippe Lubrano, Rotortrade has grown into a truly global helicopter dealership and a recognized leader in the pre-owned helicopter market. Operating through 15 dealerships worldwide and 3 certified maintenance centers, Rotortrade delivers a seamless, end-to-end experience across its three core service pillars: helicopter sales, maintenance (MRO), and financing solutions. With an inventory exceeding USD 120 million in fully owned aircraft, Rotortrade stands as the only helicopter dealership in the world offering such scale and independence—ensuring immediate access to a wide choice of operational aircrafts to meet customers’ diverse mission requirements. As the sole distributor of Leonardo Civil Helicopters, an approved reseller of Airbus Civil Helicopters, and a trusted partner of Bell, Safran, and Pratt & Whitney for Certified Pre-Owned programs, Rotortrade provides unparalleled access to the world’s leading helicopter brands. Each aircraft undergoes comprehensive inspections and quality assurance processes to guarantee the highest standards of safety, reliability, and performance. A global dealership with local expertise, Rotortrade leverages deep industry knowledge and a commitment to transparency to redefine the helicopter transaction experience—offering tailored, locally relevant solutions to customers around the world. In October 2021, The Helicopter Company (THC), backed by Saudi Arabia’s Public Investment Fund (PIF), acquired a 51% stake in Rotortrade, followed by full ownership in June 2023, further strengthening the company’s foundation for innovation, growth, and excellence worldwide. Rotortrade: Helicopters You Can Trust.","Aviation and Aerospace Component Manufacturing","51-200 employees","Privately Held","Singapore, Singapore","Singapore","rotortrade.com","https://www.linkedin.com/company/rotortrade"
,"Green Li-ion","Green Li-ion known as a vital contributer to energy security. Globally Green Li-ion is a developer and provider of innovative battery recycling, refining & re-manufacturing technologies, that have the potential to revolutionise the global battery materials & energy storage sector. The Company’s technologies are modular processing plants which will enable EV producers, battery recyclers and battery manufacturers to address the pressing need for greater levels of sustainability and security of supply in country.
For further information please go to the Company’s website: greenli-ion.com

Green Li-ion solves the existential risk to the precious metals industry and the environment. Our patented deep technology is Cleaner, Faster and 4x more profitable than current Lithium-Ion Battery material refining and the only technology to Re-manufacture battery cathode & anode material. 

For two decades Lithium-Ion batteries have been our preferred source of portable energy. The precious metals used to manufacture them are often mined in socially and environmentally damaging ways. The reason they are not recycled is that it is simply not economical to do so with current technology. Green Li-ion changes this by removing 1 - 3 inefficient processes and improved purity of the output making Lithium-Ion Battery rejuvenation and re-use the new reality.","Renewable Energy Equipment Manufacturing","51-200 employees","Privately Held","River Valley, Central Region","Singapore","greenli-ion.com","https://www.linkedin.com/company/green-li-ion"
