"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Barramundi Group","Our mission is to help close the world’s protein gap by championing barramundi as a high quality, sustainable source of protein endorsed by top chefs around the world while safe guarding the world’s oceans and environmental resources 

Founded in 2008, Barramundi Group Pte Ltd is the top 5 barramundi producers in the world. We own and operate our barramundi farms in Brunei and market our own registered brands of sustainable ocean-farmed Barramundi through the Kühlbarra and Cone Bay Barra brands that are currently in Australia, Singapore, US, China, Korea, Hong Kong etc.

Barramundi Group was listed on Euronext Growth Oslo on 12 August 2021. For more information, please visit Barramundi Group's listing page on the Euronext website: https://tinyurl.com/2kezn4z4","Food and Beverage Manufacturing","51-200 employees","Public Company","Singapore","Singapore","barramundi.com","https://www.linkedin.com/company/barramundi-group-ltd"
,"White Lion Foods","Our purpose is simple, make humanity healthier, bring wealth to the communities we serve, and leave Earth in better shape than we found it.

White Lion Foods is a leading agritech group and one of Asia’s fastest-growing businesses, headquartered in Singapore with operations in Hong Kong, South Korea, Australia, USA, Brazil and Peru, we use technology to produce the highest quality nuts and garlic on the planet. We are one of the global leaders in the production and exportation of Peruvian Brazil Nuts, and the number 1 exporter of Andean purple garlic. We are delivering thousands of tones of product to 30 countries around the globe every year.","Food and Beverage Manufacturing","51-200 employees","Privately Held","Singapore, Singapore","Singapore","whitelionfoods.com","https://www.linkedin.com/company/white-lion-foods"
,"A. Clouet (Singapore) Pte. Ltd.","A. Clouet (Singapore) Pte. Ltd. is a fully owned distribution company of Maison Denis (established 1862). In 1956, Maison Denis took over the company A.Clouet in Malaya with its main food activities: Ayam Brand. Ayam Brand became an international brand distributed in more than 30 countries on 3 continents and is today ranked among the top 500 consumer brands in Asia-Pacific.

Since 2004, Alce Nero and Maison Denis have formed a joint venture to promote and distribute Alce Nero organic products all over Asia. 

Maison Denis also distributes several other reputable brands from selected partners and recently launched yumeat (plant-based) in Singapore and the region.","Wholesale Food and Beverage","11-50 employees","Privately Held","787479","Singapore","denis.com","https://www.linkedin.com/company/a-clouet-singapore-pte-ltd"
,"SunMoon Food Company Ltd","Started in 1983, SunMoon Food Company is a global distributor and marketer of quality and nutritious fresh fruits, vegetables, and fruit derivatives, delivered to the health-conscious consumer in the most convenient way. 
 
Since 2015, SunMoon has shifted towards an asset-light, consumer-centric and brand-focused business model by tapping on our strong brand equity and the Network x Geography x Product business model. To date, SunMoon now has over 15,000 point of sales serving over 100 million households around four continents, and over 300 products. 

SunMoon aspires to spread bite-size positivity and goodness to cosmopolitan consumers of the world through our dedication to creating quality, fresh and natural products. Together, we can create a healthier, sustainable earth with honest and nutritious foods.","Manufacturing","201-500 employees","Public Company","Singapore , East Region","Singapore","sunmoonfood.com","https://www.linkedin.com/company/sunmoon-food-company-ltd"
,"WhatIF Foods","WhatIF Foods is a forward-thinking regenerative food and beverage company with a purpose to regenerate for future generations. With a steadfast commitment to building a regenerative economy, category-by-category innovation and achieving lifetime carbon zero in the process, WhatIF Foods is changing the way we think about food and its impact on our world. Guided by the founding principles of giving back more than we take away at every step of the value chain, WhatIF Foods envisions a future where delicious plant-based foods nurture our bodies, our soils, and our partner farming communities, ensuring a better world for future generations. Visit www.whatif-foods.com to learn more about our products, vision, and the impact we’re making.","Food & Beverages","51-200 employees","Privately Held","Singapore","Singapore","whatif-foods.com","https://www.linkedin.com/company/whatif-foods"
,"Nutrition Innovation - Transforming world health through sugar innovation.","Nutrition Innovation technology empowers global mills and refineries to produce raw low GI sugar (at industrial scale) as a replacement or reduction strategy for white refined sugar in the world's food and beverage brands.

This innovation unleashes the development of better, healthier food & beverage products.

We create partnerships in the battle to combat the global obesity & diabetes epidemic through research, development and the adoption of low GI sugar replacement and reduction in consumer products.

Providing a solution to governments, producers, industry, manufacturers and consumers – from farm to plate.

Nutrition Innovation has been awarded Top 10 Start-up by FI Europe 2017, Best new ingredient by the World Food Awards and the Asia Food Innovation Awards 2019, Global Agri-Food Tech Winner by Slingshot 2019, One of Singapore’s Top 20 Start-ups 2019, part of the Global FoodTech 500 in 2019, 2020 and 2021, named as one of the Best Small Business in the world driving food change by the United Nations in 2021 and been awarded having breakthroughs in immunity at Future Food Tech 2022 and the World Food Forum Start-Up Awards 2022.

Let's make the world a healthier place.

For more information contact: 

Matthew Godfrey. CEO
matthew@nutritioninnovationgroup.com
https://www.linkedin.com/in/matthew-godfreyceo/","Food and Beverage Manufacturing","11-50 employees","Privately Held",,"Singapore","nutritioninnovationgroup.com","https://www.linkedin.com/company/nutritioninnovationgroup"
,"Growthwell Foods","Growthwell Foods, a Temasek backed food-tech startup, is Asia’s leading plant-based nutrition company. Growthwell Foods develops plant- based brands like HAPPIEE! currently available in leading supermarket chains in Singapore such as Cold Storage, NTUC FairPrice, Prime Supermarket, and RedMart.

Working towards its vision of harnessing the power of plants to nourish a billion lives, the company continues to invest in plant-based research and development, driving innovation for its valued partners and consumers globally.

By infusing food cultures with plant-based innovation, Growthwell contributes to a healthier, more sustainable food system that respects the body, local culinary traditions, and the planet.","Food and Beverage Manufacturing","51-200 employees","Privately Held","Singapore, Singapore","Singapore","growthwellfoods.com","https://www.linkedin.com/company/growthwell-foods"
,"Shandi","Founded in 2020 and headquartered in Singapore, Shandi Global emerged with a mission to address the growing challenges in the global food system.

We provide game-changing solutions for businesses, brands and most importantly for the Planet with our animal free Protein innovations ,which require significantly less land , water and greenhouse gas emissions. 

Shandi Global protein stands out as a breakthrough in nutrition and taste. Engineered using a proprietary 5-patent process, these proteins are clean, natural, and free from artificial additives. 
Key benefits include:
• Superior Digestibility 
• Complete Nutrition ( Select best and complete amino acid profile )
• Exceptional Taste and Texture 
• Zero Cholesterol & Clean Ingredients

By leveraging Shandi's versatile proteins, businesses can develop creative food products that redefine junk food categories, delivering protein-rich alternatives from bars , beverages , bakery, alternative meat and novel food and beverages that benefit from a Protein boost. One standout innovation is Forever by Shandi, the flagship brand offering plant-based chicken products rivaling animal-based counterparts in taste, texture, and nutritional value.
With a global presence, Shandi Global partners with businesses to bridge the nutritional gap by improving food distribution networks , increasing awareness about healthy eating. and making nutritious food more accessible to underserved communities , along the way promoting  sustainability and nature based innovative products for a healthier future.

Spearheading this transformation are our Co-founders Dr. Reena and Dr. Gaurav Sharma. They bring unparalleled expertise and a shared passion for health, sustainability, and impactful solutions.

Let us work together towards a world, where good nutrition is available to all and secure food safety to feed the future population.","Food and Beverage Manufacturing","2-10 employees","Privately Held","Singapore, West Region","Singapore","shandiglobal.com","https://www.linkedin.com/company/shandi-global-pte-ltd"
,"Aalst Chocolate","Aalst Chocolate operates a state-of-the-art manufacturing facility in Singapore that produces industrial chocolate products using the highest quality raw materials from West Africa, South America and Asia. Using the latest European technologies, our experienced technical team is able to deliver premium chocolate ingredients for the Confectionery, Bakery, Food Service and Consumer industries.

With an exceptional and profound understanding of chocolate, our team of specialist is able to provide technical support in the use and application of our products. 

Aalst Chocolate currently exports to more than 50 countries.","Food and Beverage Manufacturing","51-200 employees","Privately Held","Singapore","Singapore","aalstchocolate.com","https://www.linkedin.com/company/aalst-chocolate"
,"Sasha's Fine Foods","As one of Singapore's first and best online fine food companies, Sasha's Fine Foods has become the port-of-call for food lovers in Singapore who value products chosen for their impeccable provenance.  We work only with suppliers around the world who adopt the highest possible standards in animal welfare, traceability and sustainability.","Food & Beverages","11-50 employees","Privately Held","Singapore","Singapore","sashasfinefoods.com","https://www.linkedin.com/company/sasha's-fine-foods"
,"Roechling Industrial (Singapore) Pte Ltd","Röchling is a family-owned, medium-sized corporate group that specializes in processing engineering plastics. We are one of the global leaders in this field. In the capital goods sector, automotive industry, and medical and pharmaceutical technology providers – our innovative products are trusted by many customers. And yet, our aim is always the same: We see what our customers need and provide them with the solutions they seek. Röchling stands for competence in plastics.","Manufacturing","51-200 employees","Privately Held","SINGAPORE","Singapore","roechling.com","https://www.linkedin.com/company/roechling-industrial-singapore"
,"Sia Huat Pte Ltd","Agent, Direct Distributor and Stockist

Sia Huat is Southeast Asia’s leading agent and direct distributor for an extensive range of foodservice products and equipment with over 38,000 SKUs of products and 120 brands. Our ERP-enabled warehousing facilities in Singapore ensure stocks are properly stored and monitored for ease of future replenishments. As the partner of choice, we strive to deliver beyond food service supplies to fit every budget and need.

Sia Huat focuses on long-term relationships with our various partners in the food service industry. These include restaurants, hotels, airlines, hospitals, and educational institutions. We also work closely with our trade and wholesale customers, including resellers, and all major departmental stores.

Today, Sia Huat exports to more than 13 countries in Southeast Asia and around the world. Our team of over 200 employees within Singapore, with representative offices in China, Malaysia and Indonesia, takes care of our worldwide customers to ensure their orders are delivered on time and in a complete manner. 

In 2010, Sia Huat launched ToTT Store, a specialty experiential retail concept that curates Tools of The Trade to inspire cooking, baking and hosting in Singapore. Visit www.tottstore.com for details and locations, or shop.tottstore.com to browse.","Food & Beverages","51-200 employees","Privately Held","Singapore","Singapore","siahuat.com","https://www.linkedin.com/company/sia-huat-pte-ltd"
,"Kim Hock Corporation Pte Ltd","Kim Hock Corporation Pte Ltd is a leading Singapore SME specializing in metal scrap recycling. We also recycle horticultural and wood waste through our in-house waste-to-energy plant. With our own fleet of vessels and vehicles, we offer integrated marine logistics, enabling direct shipments to ASEAN buyers via tug and barge.","Manufacturing","51-200 employees","Privately Held","627736","Singapore","kimhock.com.sg","https://www.linkedin.com/company/kim-hock-corporation-pte-ltd"
,"Vega Foods Ltd","Vega Foods Pte Ltd is a start-up player in the foods segment and is aggressively pursuing a brand building strategy in each product category for creating sustainable advantage. Vega operates in 30 countries across the globe with significant operations in Africa. Vega is an established leader basis its differentiators: Quality, Convenience & Market penetration for its customer/consumer base and Entrepreneurial approach, Empowerment & Value driven culture for its employees.","Manufacturing","201-500 employees","Privately Held","Singapore, Singapore","Singapore","vegafoods.com","https://www.linkedin.com/company/vega-foods-ltd"
,"SGProtein","We are SGProtein. A Singapore-based contract manufacturing platform for meat analogues, aka plant-based meat. Or fish. Or seafood. If you are planning on producing or distributing your own plant-based product, and you don’t want to invest in the infrastructure, we are your trusted production partner, helping you to scale your plant-based meat alternative business asset light.","Food Production","2-10 employees","Privately Held","Singapore","Singapore","eatsgprotein.com","https://www.linkedin.com/company/sgprotein"
,"Hela Spice Singapore Pte Ltd","Hela Gewürzwerk Hermann Laue started in 1905 by Hermann Laue as a casings and spice business in the heart of Hamburg. For more than a 100 years, Hermann Laue has developed extensive experience in processing raw spices, developing seasoning blends, meat processing agents, kitchen aids and retail products.
 
Hermann Laue (Pte) Ltd, Singapore was established in 1980, as a wholly owned company of Hela Gewürzwerk Hermann Laue GmbH & Co.  The company was  later renamed to Hela Spice Singapore Pte Ltd on 31 March 2010, in a move to establishing and standardizing the names of all Global Hela companies.
 
Being the regional hub for Asia, Hela Spice Singapore oversees Malaysia, Indonesia, Brunei, Thailand, Philippines, Laos, Cambodia, Vietnam, Myanmar, Hong Kong SAR, Taiwan, Korea, India, Sri Lanka, Bangladesh and Pakistan. We have our own logistics team in Singapore. The rest of the region is serviced by our appointed in-country partners. We service the hotels, restaurants and other catering establishments – large and small, flight kitchens, food manufacturers, meat-processing plants, supermarkets, hospitals, clubs, bakeries/delis and schools.","Food and Beverage Manufacturing","11-50 employees","Privately Held","Bishan, Singapore","Singapore","helaspice.com.sg","https://www.linkedin.com/company/hela-spice-singapore-pte-ltd"
,"Phoon Huat","Founded in 1947 and headquartered in Singapore, Phoon Huat is a leading manufacturer of quality bakery ingredients, tools and services for the retail and foodservice markets as well as artisan and industrial bakeries. We connect ingredients and expertise to help ensure the only limits to what a baker can achieve are their imagination.

Underpinned by our global network of strategic supplier partners, we ensure the availability of specialized ingredients and distribute known global trusted brands in complement to our own category leading brands; RedMan, Gold Tree, Bakeway and Wise Choice to help our customers across Asia Pacific, the Middle East and Africa grow their businesses and delight their customers. 

Phoon Huat is a IHRP (Institute for Human Resource Professionals) Corporate Partner.","Food & Beverages","201-500 employees","Privately Held","Singapore, Singapore","Singapore","phoonhuat.com","https://www.linkedin.com/company/phoonhuat"
,"Thong Siek Global","It all started with a dream, a passion for fishball, and a leap of faith.

Thong Siek Global began humbly as a family-run backyard operation in 1976. Over the years, we have evolved in our international quest to delight taste buds around the world, offering the finest surimi-based seafood products today.

We have been awarded multiple accolades and certifications, notably the highest-grade AA in the BRC Global Standard for Food Safety in 2020, SFA Food Safety Grade A Gold Award for the past two decades, and Halal Certification for seafood products by the Muslim Religious Council of Singapore (MUIS).

Balancing innovation and tradition, our commitment to be best-in-class and surpass industry benchmarks has positioned us globally as a leading manufacturer, distributor, and retailer of surimi-based seafood products. 

Here at Thong Siek Global, we strongly believe in building an inclusive people-oriented workforce. Our dedicated participation to the President’s Challenge Enabling Employment Pledge has shown us a gainful employment of Persons With Disabilities thus far.

Visit https://thongsiek.com to learn more. 

Interested in working with us? Drop us a message or email us at enquiry@thongsiek.com.","Food and Beverage Manufacturing","201-500 employees","Privately Held","Senoko Way, Singapore","Singapore","thongsiek.com","https://www.linkedin.com/company/thong-siek-global"
,"Saveraa International Private Limited","Saveraa International is a brokerage firm dealing in edible oil, palm oil as well as a list of vegetable oil products and derivatives. Our team of highly professional brokers tap the top markets of India, Malaysia, Indonesia, Singapore, Dubai, Pakistan, Myanmar and Bangladesh to cater to the supply and demand needs across the retail and corporate segments. We offer customized solutions to our clientele based on our rich experience and market insights from the industry to capitalize the trading opportunities in complex world of commodities.","Wholesale","2-10 employees","Self Employed","SINGAPORE","Singapore","saveraaintl.com","https://www.linkedin.com/company/saveraa-international-private-limited"
,"NP GROUP","N.P. Foods (Singapore) Pte Ltd was founded in 1987 as an emerging seasoning manufacturing business, with operations covering Malaysia and Indonesia. Today, N.P. Foods has grown to become one of the most renowned seasoning manufacturing companies across Southeast Asia and has successfully expanded our business globally, penetrating overseas markets such as the Middle East, Africa, and the Asia Pacific region.

At N.P. Foods, we take pride in our expertise in seasoning manufacturing, as well as our vast global network, which enables us to gain a competitive advantage over our competitors in the industry. We customize and produce seasonings tailored to each overseas market.

N.P. Foods understands the utmost importance of food safety and quality. In recent years, we have achieved esteemed certifications and recognitions such as SQF and FSSC 22000, cementing our position as a leading pioneer in the industry. Moreover, we are proud to have received the prestigious Platinum Award from the Singapore Food Agency (SFA) in recognition of our efforts to maintain high hygiene standards. 

Our Products
Snack Pellet Line - Steam Cooking, Snack Pellet Line - Extrusion, Choco Absorption Snack Line, Pop Chip Snack Line, Flavouring System, Puff Gun Line, Cereal Snack Bar Mfg. Line, Roasted / Fried Peanut Line.","Food and Beverage Manufacturing","51-200 employees","Privately Held","Singapore, Singapore","Singapore","npsin.com","https://www.linkedin.com/company/npfoodsgroup"
,"KH Roberts","At KH Roberts, we craft future flavours that bring delight and imagination to the world. As one of Asia’s leading creators of aromas and tastes, we are constantly pushing the boundaries, always discovering, always innovating. With world-class research, innovation, and manufacturing capabilities, supported by a keen understanding of Asia’s diverse cultures, tastes and preferences, we bring to our customers crafted flavours that are novel, relevant, and delightful. For more than 50 years, we have established an extensive network of clients and partners. They range from private labels to multinational consumer companies, serving diverse segments from Foods & Beverages, Health & Wellness to Pharmaceuticals. Headquartered in Singapore with local operating presence across Asia, we serve and support the needs of our customers around the world.","Food and Beverage Manufacturing","51-200 employees","Privately Held","Singapore, Asia","Singapore","kh-roberts.com","https://www.linkedin.com/company/kh-roberts"
,"AFFIA: ASIAN FOOD  & FEED INSECT ASSOCIATION","The Asian Food and Feed Insect Association (AFFIA) is a group of companies, institutions and experts, which promotes and supports the use of insects as food and as feed.

AFFIA aims to bring industry and research stakeholders from the insect sectors in a collaborative movement towards the development of entomoculture, entomophagy and their related activities.","Food and Beverage Manufacturing","11-50 employees","Non Profit","SINGAPORE, SINGAPORE","Singapore","affia.org","https://www.linkedin.com/company/affia"
,"Float Foods","We are dedicated to making the world a better, healthier place. Sounds cheesy, but it's true.

Let's start with the environment. We realise that we are part of the problem. So we want to change things. 

1. We are going to work hard to bring about change in our environment by transforming how we eat and what we eat. We don't want animals to suffer at our expense, and we don't want to harm the planet.  

2. We also want to live healthy and clean. We want to build up our local capabilities by offering tasty nutrient-dense plant based foods, by leveraging food tech and innovation.

3. We want our supply chains to be within our borders. We can do this by investing in local production so that we can make a substantive impact on our food supply and security. 

We want a new future of food, today.

Job opportunities: https://www.floatfoods.com/copy-of-press","Food Production","2-10 employees","Privately Held","Singapore, Singapore","Singapore","floatfoods.com","https://www.linkedin.com/company/floatfoods"
,"Prima Taste","A division of Prima Food, Prima Taste, the Group’s flagship B2C brand, was launched in 1998. It was the culmination of the Group’s passion to preserve the heritage and tradition of Singapore food, and to offer authentic, easy to make Singapore cuisine to the world, without compromise. Today, Prima Taste offers a wide range of gourmet Singapore dishes through its Best Singapore Favourites meal sauce kits, Authentic Asia cooking sauces and pastes, LaMians and Ready Meals. Prima Taste products are widely distributed to major supermarkets and online stores in more than 40 markets, and its LaMians have been consistently crowned the top “Instant Noodle of All Time” by The Ramen Rater since 2013.","Food and Beverage Manufacturing","51-200 employees","Privately Held","Singapore, Singapore","Singapore","primataste.com","https://www.linkedin.com/company/prima-taste"
,"Lee Wee & Brothers","A local household brand synonymous with quality otah, Lee Wee & Brothers takes pride in a family-run business philosophy that emphasises traditional recipes and methods. Having been around for two decades, the homegrown chain earns a reputation for delivering the most original, authentic and sophisticated taste of Singapore – the taste of the good ol’ days.

Food has always been their chief passion. And passion indeed is the chief ingredient, above all their spices. All the recipes come from the Lee Family’s rich heritage and combined with the freshest ingredients to create its own unique Singaporean flavour.","Food & Beverages","51-200 employees","Self Owned","Singapore","Singapore","leeweebrothers.com","https://www.linkedin.com/company/lee-wee-&-brothers"
,"FoodPlant Pte Ltd","Singapore’s first shared facility for small-batch food production, FoodPlant, promotes and facilitates innovation within the local food manufacturing industry by providing affordable access to a wide range of pilot scale equipment. It also provides opportunities for collaboration amongst local food companies, as well as deep skills training for industry-ready food technologists, to strengthen and develop the industry’s adoption of advanced and cutting-edge food processing technologies.

Jointly established by the Singapore Institute of Technology, Enterprise Singapore and JTC, FoodPlant is anticipated to be ready in 2022. The facility will be located at JTC Food Hub @ Senoko.","Food Production","11-50 employees","Partnership","Singapore, Singapore","Singapore","foodplant.com.sg","https://www.linkedin.com/company/foodplant"
,"Enerfo","Enerfo, established in 2010, has forged out a desire to provide value-added solutions in order to foster international trade. From humble beginnings, we have grown into a global trading company headquartered in Singapore. Today, we are a key player in supplying complete trade solutions from procurement, shipping, logistics and financing to the downstream distribution of various agricultural and energy commodities.

With operations across a multitude of countries and the ability to extract desirable results from the value chain, we have performed optimally to breakdown international trade barriers. The combination of a highly-experienced team and significant commercial activities between the West and Asia has allowed us to develop a solid platform, centered on strong logistics, structured financing and sound risk management skills. We continuously strive to secure high-quality products in our networks, create the best-in-class cost efficiency and meet our clients’ requirements.","Import and Export","51-200 employees","Privately Held","collyer","Singapore","enerfogroup.com","https://www.linkedin.com/company/enerfo"
,"67 Pall Mall Singapore","The private Members' Club by wine lovers, for wine lovers.","Food & Beverages","51-200 employees","Public Company","Singapore","Singapore","67pallmall.sg","https://www.linkedin.com/company/67-pall-mall-singapore"
,"Polar Puffs & Cakes","Established back in 1926, our very first outlet was located on 51 High Street was well-loved for our signature Curry Puffs as well as a selection of ice-cream and chilled refreshments.

Polar Café was the go-to place for politicians, lawyers and businessmen due to its strategic location near the trading harbor. Amongst these prolific consumers, Lim Bo Seng, one of Singapore’s prominent businessman, would often patronize the Polar Café back in the days.

Having witnessed and endured the difficult period of World War II together with Singapore, we have progressed in tandem with the country. In December 1986, we opened our 2nd outlet and subsequently expanded rapidly into every heartland and soon became a staple to many.

With over 100 varieties of pastries, cakes and other confectioneries, we take pride in selecting the finest ingredients to produce handmade quality pastries that are baked fresh daily.","Food & Beverages","201-500 employees","Privately Held","Singapore","Singapore","polarpuffs-cakes.com","https://www.linkedin.com/company/polarpuffscakes"
