"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Emerald Clinical","Emerald Clinical is a leading global clinical research organization founded in Asia-Pacific, driven by scientific expertise and operational excellence. With over 20 years of experience and more than 500 people managing 40 geographical locations throughout the Asia-Pacific region, the USA, and Europe, Emerald Clinical provides the full range of clinical trial services to biopharmaceutical, medical device, and diagnostic customers for all trial phases, registration, and post-marketing trials.

Stay up to date on the latest clinical research news, case studies, and perspectives from Emerald Clinical thought leaders by signing up for our monthly e-newsletter.

https://emeraldclinical.com/","Biotechnology Research","501-1,000 employees","Privately Held","Singapore, Singapore","Singapore","emeraldclinical.com","https://www.linkedin.com/company/emeraldclinical"
,"Sysmex Asia Pacific","Sysmex is a global market leader in the development and implementation of clinical diagnostic and health IT products and services for laboratories, hospitals and healthcare organisations. 

We deliver total solutions in the field of clinical laboratory testing, including haematology, haemostasis, urinalysis, immunochemistry, molecular diagnostics and flow cytometry to customers in more than 190 countries. Sysmex is the market leader in haematology and coagulation instrumentation worldwide.

By working together with our customers and business partners, Sysmex is committed to our mission of shaping the advancement of healthcare.

Sysmex Asia Pacific Pte Ltd, located in Singapore, is a subsidiary of the Sysmex Corporation from Kobe, Japan. We serve our affiliates, distributors and customers throughout South and Southeast Asia, and Oceania. Globally Sysmex Group employs more than 8000 staff, of whom 560 works in the Asia Pacific region.","Medical Equipment Manufacturing","201-500 employees","Privately Held","Tampines East","Singapore","sysmex-ap.com","https://www.linkedin.com/company/sysmex-asia-pacific"
,"Getz Healthcare","For more than 110 years, our companies have been conducting business in the Asia Pacific region. In 2016, we rebranded nine healthcare businesses within The Getz Group of companies, to Getz Healthcare. This milestone allows us to consolidate our expertise and best practices by integrating our operations and establishing ourselves as the leading distribution company for medical devices, equipment and consumables across Asia Pacific.

We are proud to be an ISO 9001:2015 certified company. Headquartered in Singapore, we serve 7,500 customers, we work with over 540+ Business Partners worldwide and have 23 offices and distribution centers spread across Australia, Hong Kong, Malaysia, New Zealand, Pakistan, Philippines,
Taiwan, Thailand, and Vietnam.

Getz Healthcare is part of The Getz Group of companies. Our mission is to bring meaningful healthcare solutions to the people of Asia Pacific.

For more information, visit Getz Healthcare at www.getzhealthcare.com","Medical Equipment Manufacturing","501-1,000 employees","Privately Held","Bishan","Singapore","getzhealthcare.com","https://www.linkedin.com/company/getz-healthcare"
,"Pharmint","Integrated B2B Pharma Marketplace(cross border)","Pharmaceutical Manufacturing","51-200 employees","Privately Held","SINGAPORE, SINGAPORE","Singapore","pharmint.net","https://www.linkedin.com/company/pharmint"
,"iNova Pharmaceuticals","iNova Pharmaceuticals is leading the way to better health by constantly searching for new, practical solutions that improve the everyday health and wellbeing of people around the world.

Our portfolio of market-leading consumer health brands and prescription medicines are backed by science and span across the key therapeutic areas of throat, cough, cold & flu, skin care, sun care, pain management, wound care, weight management, natural health supplements among many others. 

Headquartered in Singapore, today our products are distributed in over 75 markets across Asia, Australia, New Zealand, Middle East & Africa and Europe.

At iNova pharmaceuticals, we do things differently. iNova believes that if you can imagine it, you make it happen. Every employee has the opportunity to make a real and immediate impact. 
 
Be part of a passionate team, focused on delivering innovative healthcare solutions that improve the lives of people around the world. 

Discover why people love working at iNova Pharmaceuticals.We offer an award-winning culture and industry-leading benefits.  

iNova Pharmaceuticals is an Equal Opportunity employer. We strongly believe that inclusion and diversity is critical to our success and our people reflect the diversity of the global markets we serve.","Pharmaceutical Manufacturing","501-1,000 employees","Privately Held","Singapore, Central Region","Singapore","inovapharma.com","https://www.linkedin.com/company/inovapharmaceuticals"
,"SharkNinja APAC","Founded in 1997 and headquartered in Boston, SharkNinja is a pioneering company that specializes in smart and innovative cleaning solutions and small appliances. Our primary focus is on smart cleaning and kitchen appliances, and we continue to expand our product range. 

SharkNinja was acquired by JS Global Group in 2017, a globally renowned provider of high quality innovative small house-hold appliances. The company was listed on the Hong Kong Stock Exchange in 2019. Recently, the company board chose to make some changes to the company structure, for long-term strategic reasons. SharkNinja was spun off as a separate company and is listed on the NYSE. JS Global is the “licensee” of the Shark and Ninja for the APAC markets.

Our mission is to enhance the quality of everyday life in homes worldwide by creating groundbreaking, design-focused smart home products. JS Global Lifestyle has also successfully acquired one of its key distributors in 2023, Mann & Noble Retail Business with Singapore, Australia, New Zealand, and Malaysia.

SharkNinja APAC maintains a significant presence throughout the Asia-Pacific (APAC) region, with operations in Singapore, Malaysia, Japan, Australia, New Zealand, South Korea and India.","Appliances, Electrical, and Electronics Manufacturing","201-500 employees","Public Company","Novena","Singapore","sharkninja.com","https://www.linkedin.com/company/sharkninja-apac"
,"Shimadzu (Asia Pacific)","Established in 1989, Shimadzu (Asia Pacific) proudly serves as the Asia headquarters for Shimadzu Corporation, embodying a spirit of reform to be bigger and bolder with purpose, while committing to excellence in the fields of Analytical & Measuring Instruments and Medical Systems.

With a dedicated workforce of over 500 employees across 5 subsidiaries in India, Malaysia, the Philippines, and Vietnam, we are well-equipped to meet the diverse needs of our customers. We also have a strong presence in more than 18 countries across India, ASEAN, South Asia, etc. 

At Shimadzu, we take pride in our rich history of 150 years and the true synergy to enrich the lives of our customers and employees. Through our leading-edge technologies, End-To-End solutions, exceptional after-sales services, and commitment to delivering outstanding value, we have emerged as leaders in the Asia Pacific and global markets to Contribute to Society Through Science and Technology.","Biotechnology Research","201-500 employees","Privately Held","Singapore, Singapore","Singapore","shimadzu.com.sg","https://www.linkedin.com/company/shimadzu-asia-pacific"
,"Mirxes","Mirxes is a Singapore-headquartered biotechnology company whose mission is to save lives through early, actionable, and personalized diagnoses across the care continuum.

We are Asia-centered, starting with Southeast Asia, and have global ambitions. We have research, development, manufacturing, and clinical diagnostic operations in Singapore, USA, Japan, and China. We have sales and distribution networks worldwide.

Our flagship product is GASTROClear, the world’s first molecular blood test for early detection of gastric cancer, able to detect around 90% of patients with Stage I and II cancers. 

We continue to build a comprehensive cancer portfolio with early detection tests for lung and thyroid cancer (2022), colorectal and breast cancer (2023), liver and ovarian cancer (2024). We are concurrently building a precision oncology portfolio to provide clinical insights for the complete patient journey.

MiRXES was spun off from A*STAR’s Bioprocessing Technology Institute in 2014 to commercialize an industry-leading qPCR-based technology for microRNA detection. Our ID3EAL discovery tool and workflow has been adopted by top academic and industry partners globally and is backed by the world’s first industry standard for microRNA-base diagnostics.

Our versatile platform technology and capabilities have broad applications in the discovery of biomarkers and diagnosis of diseases. We are starting with early cancer detection, but we will also be addressing unmet clinical needs in cardiovascular, metabolic, and infectious diseases.

We responded to COVID-19 by leveraging our capabilities to mass produce and distribute over 5 million units of the Fortitude COVID-19 RT-PCR test. This made-in-Singapore diagnostic test, developed by A*STAR and Tan Tock Seng Hospital, has been deployed in 13 Singapore hospitals and clinical labs and exported to over 45 countries worldwide. Post-COVID, we will leverage this network to commercialize multi-cancer early detection tests.","Biotechnology Research","201-500 employees","Privately Held","Singapore","Singapore","mirxes.com","https://www.linkedin.com/company/mirxes"
,"Gene Solutions","Gene Solutions, a Singapore-headquartered biotechnology company, offers a comprehensive genetic testing portfolio utilizing Next-Generation Sequencing (NGS) and Artificial Intelligence algorithms. Our services include cell-free DNA non-invasive prenatal testing (NIPT), circulating tumor DNA (ctDNA) cancer screening, genomic profiling, and treatment monitoring.  

Established in 2017, Gene Solutions operates a network of nine NGS laboratories, including two central CAP-accredited laboratories in Singapore and Vietnam. With over two million tests provided to patients, we remain committed to delivering accessible genetic testing services to more than 4,500 hospitals and clinics across Singapore, Vietnam, Thailand, Indonesia, Malaysia, the Philippines, China, Hong Kong SAR, Taiwan, India, Turkey, Brazil, and USA.","Biotechnology Research","501-1,000 employees","Privately Held","Singapore, Singapore","Singapore","genesolutions.com","https://www.linkedin.com/company/genesolutions"
,"Canaan Inc.","About Canaan Inc.:

Canaan is a leading provider of supercomputing solutions, distinguished for superior cost-efficiencies and performance. In addressing the limitations of today’s computing hardware, Canaan strives to advance the world we live in by powering transformative technologies.

Canaan is renowned for having invented the world’s first ASIC-powered bitcoin mining machine in 2013, radically catalysing the growth of a computationally-advanced bitcoin mining sector.

Developed through academic research, rigorous expertise in semiconductor design, and backed by a robust network of strategic partners, Canaan continues to expand its suite of advanced hardware offerings, exploring opportunities across some of the world’s most exciting emerging technologies.

: https://t.me/Canaanio","Semiconductor Manufacturing","501-1,000 employees","Privately Held","Singapore, Singapore","Singapore",,"https://www.linkedin.com/company/canaaninc"
