"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Tiger Pug Pte Ltd","Tiger Pug Pte Ltd, Singapore, is cross border ecommerce company that specialises in getting international brands to sell in India and South Asia

Cross border ecommerce and market entry using ecommerce requires vast knowledge , skills and operating teams that our group possesses

Here are the options for brands to be ecommerce enabled with services from Tiger Pug

1. Set up of Brand Online Stores and Marketplace Sales for brands with presence in Asia

Establish Your Brand Ecommerce and Direct to Consumer Business

2. Cross Border ECommerce for Brands in Asia to expand beyond their borders

Reach Out to Consumers in International Markets 

3. Entry in China, India,Singapore, Malaysia and Indonesia for brands that are not present in these countries

Establish you Brand in Growing Markets using eCommerce 

Contact us by writing to contact@tigerpug.com or whatsapp +6583886673 or WeChat Tigerpug","Wholesale Import and Export","11-50 employees","Privately Held","Singapore","Singapore","tigerpug.com.sg","https://www.linkedin.com/company/tiger-pug"
,"HH Group","With over 50 years of experience in the industry, HHH Group Pte Ltd (“HH Group”, otherwise known as “Hong Hock Hardware Group”), has grown to become one of the largest importer, exporter and stockist of stainless steel and other high-performance metals in Singapore. 

Over the years, HH Group has worked with clients across the region from South East Asia, to Asia Pacific and the Middle East and from various industries such as hardware and trading, energy and shipyard, building construction and oil and gas.

Following the acquisition of Sin Ghee Huat Coporation Pte Ltd in 2021, HH Group holds the largest, most comprehensive stainless-steel inventory in Singapore, with over 12,000 tons of stainless steel products housed across 3 warehouses, together with an extensive network of contacts, expertise
and solutions. HH Group has successfully forged trusted partnerships with globally recognised suppliers from Europe, China, Japan, Taiwan and South Korea, enabling access to an undisrupted supply of high-performance metal products.

Headed by HH Group, our company comprises of two key divisions: 

HH Stainless Pte Ltd (HHS)
Primary business; distributor of stainless-steel products.

HH Special Metal Pte Ltd (HHSM)
Secondary business; distributor of high-performance materials such as nickel alloys, chrome alloys, duplex stainless steel","Wholesale Import and Export","51-200 employees","Privately Held","Singapore","Singapore","honghock.com.sg","https://www.linkedin.com/company/hhgroupsg"
,"Life Care Products Pte Ltd","Est. in Singapore in 2004, Life Care Products Pte Ltd is a leading and well-reputed market expansion, distribution, wholesale and trading company dealing in fast moving consumer goods. Our reach cover 30+ frontier markets in Asia-Pacific, Middle-East and Africa. Let's talk. E: sales[@]lifecarebrands.com. W: www.lifecarebrands.com","Wholesale Import and Export","11-50 employees","Privately Held","Singapore","Singapore","lifecarebrands.com","https://www.linkedin.com/company/lifecarebrands"
,"BNS Agri","We are an agricultural commodity trading and packaging company located in Singapore. We source Agri commodities from West Africa and export them to countries like USA, Canada, India, China, Vietnam & Bangladesh.

We, also, source products like Rice, palm oil, Margarine Butter blends etc. from countries like USA, India, Vietnam & Bangladesh and import in West African countries like Togo, Benin, Guinea Bissau, Burkina Faso & Senegal.","Wholesale Import and Export","2-10 employees","Privately Held","Singapore","Singapore","bnsagri.com","https://www.linkedin.com/company/bns-agri"
,"Life Care Products Pte Ltd","Est. in Singapore in 2004, Life Care Products Pte Ltd is a leading and well-reputed market expansion, distribution, wholesale and trading company dealing in fast moving consumer goods. Our reach cover 30+ frontier markets in Asia-Pacific, Middle-East and Africa. Let's talk. E: sales[@]lifecarebrands.com. W: www.lifecarebrands.com","Wholesale Import and Export","11-50 employees","Privately Held","Singapore","Singapore","lifecarebrands.com","https://www.linkedin.com/company/life-care-products-pte-ltd"
,"Prosperity Steel United Singapore Pte. Ltd.","Prosperity Steel United Singapore Pte. Ltd. is an import and export company based in Singapore, the company has not only been leading the group business operation in trading, shipping, entity, investments, financing, convention and exhibition . It is currently recognised as the biggest Iron Ore Trading House.","Import and Export","11-50 employees","Privately Held","Singapore","Singapore",,"https://www.linkedin.com/company/prosperity-steel-united-singapore-pte-ltd-"
,"Aquifert","Aquifert is based in Singapore, specialising in water soluble and speciality fertilizers. It aims to bring sustainability to farming and efficiency to the supply chain. Aquifert's extensive experience and daily participation in fertilizer markets allows it to provide insight and direction on market trends and developments in the fertilizer industry. Its core products are Calcium Nitrate, MKP, Potassium Nitrate, Technical Grade MAP, Kieserite,  Zinc, micronutrients as well as the major nutrient products.","Wholesale Import and Export","2-10 employees","Privately Held","Singapore","Singapore","aquifert.com","https://www.linkedin.com/company/aquifert"
,"Spartan Bizcorp Pte Ltd","Spartan Bizcorp is an export trading company providing multinational consumer goods manufacturers the opportunity to exploit global “white spaces” (geographies where product needs are unmet).

We supply consumer goods into countries
- With complex import regulations (specific certification requirements)
- That have a small population (non-focus country)
- With alternative payment requirements (Letter of credit, Documents against payment)
- Where existing distributors are not meeting their targets","Wholesale Import and Export","11-50 employees","Privately Held","Singapore","Singapore","spartanbizcorp.com","https://www.linkedin.com/company/spartanbizcorp"
,"FAR EAST GROUP LIMITED","Founded in 1953 as one of the pioneers in the refrigeration and air-conditioning business in Singapore, Far East Group Limited (formerly known as Far East Refrigeration (Pte.) Limited) is a comprehensive provider of refrigeration and air-conditioning systems and products in the heating, ventilation, air-conditioning and refrigeration (""HVAC&R"") industry. Our Directors believe that we are one of the leading regional distributors of commercial and light industrial refrigeration systems and products in the South-east Asia region.

Our Group has a broad customer base of more than 1,000 active customers, including distributors, dealers as well as refrigeration and air-conditioning contractors who use our products and services to provide comprehensive refrigeration and air-conditioning systems to endusers, such as supermarkets, cold store distribution centres, food processing and catering facilities, hotels, hospitals, food and beverage establishments, convenient stores, petrol stations, marine vessels, oil rigs and barges.

Besides sourcing and distributing agency products, our Group also manufactures our in-house ""Eden"" brand of heat exchangers and condensing units. In particular, our products are widely recognised and used by well-known international and regional retail chains such as Carrefour, Metro, Tesco, Giant, Cold Storage and NTUC FairPrice as well as Resorts World Sentosa and Marina Bay Sands.

Headquartered in Singapore, our Group has subsidiaries in Singapore, Malaysia and Hong Kong as well as representative offices in Vietnam and Indonesia. We also have approximately 20 distributors and dealers in countries including Malaysia, Thailand, the Philippines, Myanmar, Mauritius, Vietnam, Sri Lanka and Indonesia.

In line with our growth, our Group's revenue rose from approximately S$29.2 million in FY2008 to approximately S$32.6 million in FY2010, while net profit rose from approximately S$1.0 million in FY2008 to approximately S$4.6 million in FY2010.","Wholesale Import and Export","201-500 employees","Public Company","SINGAPORE","Singapore","fareastgroup.com.sg","https://www.linkedin.com/company/far-east-group-limited"
,"Exborders","Transcend borders and discover a world of wonder with Exborders - the pioneering e-commerce marketplace on a mission to revolutionize global online shopping. This Singapore-based company, spearheaded by industry veterans, is boldly breaking down barriers and borders to curate an unrivaled selection of coveted international brands all in one place.

From the latest electronics and toys, to beauty must-haves, baby essentials, fashion staples, and everything in between, Exborders provides access to an extensive catalog of products spanning top US, Europe, China, and UAE retailers. Powered by a global network spanning four continents, Exborders makes cross-border shopping seamless, affordable, and ultra-convenient.

Experience online shopping without limits. Exborders enables you to sit in the comfort of your home yet virtually traverse the globe - discovering new products, brands, trends, and more. The world is your marketplace with Exborders.","Wholesale Import and Export","51-200 employees","Privately Held","Singapore","Singapore","exborders.com","https://www.linkedin.com/company/exborders"
,"Centaur Asia Pacific","Centaur Asia Pacific, with a strong presence in Hong Kong, Singapore, Malaysia, and Australia, has earned a reputation for consistently providing the finest products and top-tier support and after-sales services to a multitude of clients across the Asia Pacific Region. Our esteemed clientele includes Golf Courses, Sports Fields, Nurseries, Parks, and Landscapes throughout Asia and Australia,  encompassing both private and public sectors. As a testament to our commitment to excellence, we exclusively represent reputable brands and world-renowned equipment, products, and tools, proudly associated with high-profile international names such as CapillaryFlow, EcoBunker, Loksand, TurfBreeze, SubAir, Hydrowick, Adama, Ocean Knowledge, Amp Agronomy, TrapTex, and other superior products.","Wholesale Import and Export","11-50 employees","Privately Held","Jurong West, West Region","Singapore","centaur-asiapacific.com","https://www.linkedin.com/company/centaur-asiapacific.com"
,"Dewin Technology","Specializing in metal and plastic components for industrial and consumer applications — from supplier sourcing to manufacturing, quality control, and global delivery.

Dewin is a Singapore based sourcing company which provides one-stop supply chain management services.

We help you make custom parts from Vietnam, China and other Asian countries. Have branches in Vietnam and China, a well-trained team which will operate the supplier sourcing, supplier audit, process control, quality inspection, logistics management for turnkey services of your projects. 

Contact us if you wanna avoid high tariffs from US to China and expand your supply chain in Asia.","Wholesale Import and Export","11-50 employees","Privately Held","Geylang","Singapore","dewintech.com","https://www.linkedin.com/company/dewin-technology"
,"YEM - Your Export Manager","We help businesses better promote and sell their products in countries it would otherwise be very difficult for them to reach and make a significant impact.

Our services are tailored specifically to small and medium enterprises that do not currently employ an export manager and want to tap into new markets without burdening their company's internal infrastructure at any given time.

We are an established and unique company with successful strategies to help our clients penetrate new markets, increase export activities and forge business relationships in Southeast Asia.
 
OUR HISTORY:
The history of YEM started in Italy in 2012, where our CEO & Founder was working alone with only three manufacturers. Today, from our Singapore HQ and our offices in Jakarta, Ho Chi Minh, Hanoi, Manila, Bangkok, and Kuala Lumpur, we work with and expand the business of the over 30 manufacturers in our portfolio. Over the last 20 years, we have developed a professional relationship with a large Distributors and System Integrators network.
 
OUR MISSION:
To be the fastest and most sustainable way to sell your products into Southeast Asia. We develop and execute marketing strategies to enhance your brand identity in new markets. All commercial actions are constantly analyzed by Chief Operating Officers, Country Managers, and Pre and After Sales Managers who conduct over 500 meetings and manage 2000 sales opportunities every month to help you increase brand awareness.","Wholesale Import and Export","11-50 employees","Self Owned","Singapore","Singapore","yem-int.com","https://www.linkedin.com/company/yem-int"
,"永泰能源有限公司 Yongtai Energy Pte. Ltd.","Registered in Singapore, with more than 20 years of coal trade experience. Since year 2016, Yongtai Energy Pte. Ltd started with spot trading, focusing primarily on coal trading supply chain. Company has gradually progress into Bauxite and Iron ore trade, investment in mines and shipping logistics.

Through years of deep cultivation and operation, Yongtai has built up wide and mature purchasing channels in Indonesia, South Africa and Australia. We have also established overseas branches in above coal origins as well as other countries such as Pakistan, Vietnam, Bangladesh, China, Middle East etc., establishing a global marketing network for our overseas business and globalization strategy.

As the pioneer of new emerging market, we concentrate on coal supply and distribution to countries in the Belt and Road Strategy. Setting up long term supply chain cooperation between miners and power plants. Yongtai Energy is currently one of the biggest international coal supplier in Pakistan, and we are devoting ourselves to be a leading commodity trading house and supply chain service provider globally.","Wholesale Import and Export","51-200 employees","Self Owned","Downtown Core, Central Region","Singapore","yongtai-energy.com","https://www.linkedin.com/company/永泰能源有限公司-yongtai-energy-pte-ltd"
,"DDT FOOD PTE LTD","DDT FOOD is an International company, specialising in procurement and supply of Frozen and chilled protein, seafood, IQF vegetables, french fries and fruit pulp.

Our culture is one of an engaged and inclusive approach to business. 
This very approach has afforded us the opportunity of establishing relationships and strategic partnerships throughout the world.
These loyal partners have become accustomed to our honest, open and ethical way of doing business.","Wholesale Import and Export","11-50 employees","Privately Held","Singapore","Singapore","ddtfood.com","https://www.linkedin.com/company/ddt-food"
,"Kent Exports","Supplying premium produce fresh from the farm gate. WhatsApp to talk +65 9778 7705","Wholesale Import and Export","2-10 employees","Privately Held","Singapore","Singapore","kentexports.asia","https://www.linkedin.com/company/kent-exports"
,"Aries Fresh Pte Ltd","Since 1993, Aries Fresh has grown steadily over the years to become one of Singapore's largest importers of selected fresh produce - Chilli Padis, Japanese Sweet Potatoes and Oyster Mushrooms amongst others, with an annual supply capacity of more than 7,000 metric tons.

We are committed to ensuring that our produce are fresh and meet the stringent food safety standards of international bodies and authorities - that means we only source from premium farms and growers for the highest quality produce and ensure that all our clients' needs are met from packing, transportation, storage to delivery.

Today, we supply to over a hundred of NTUC FairPrice supermarket outlets daily. Our growing clientele base of hotels, restaurants and wholesalers speaks of the trust that our clients have in us.

Visit our website now to see the products and services we can offer!","Wholesale Import and Export","51-200 employees","Privately Held","Singapore, Singapore","Singapore","ariesfresh.com","https://www.linkedin.com/company/aries-fresh-pte.-ltd."
,"CommodityMax Pte Ltd","Sugar & Rice

CommodityMax is well-connected with suppliers, refineries & mills worldwide. We are able to source and originate commodities like different grade of Sugars and Rice that meets each buyer’s specifications. Our vast experience in these markets and excellent commercial relationships with our counterparties and their proven track record enables us to deliver quality goods in a timely manner.

 
Grains & Feeds

CommodityMax is well-connected with suppliers, manufactures, mills, traders globally.  We are able to source and originate commodities like Wheat, Corn, Fish meal, Fish oil & Poultry meal that meets each buyer’s specifications. Our vast experience in these markets and excellent commercial relationships with our counterparties and their proven track record enables us to deliver quality goods in a timely manner.

Oil & Oilseeds

CommodityMax is well-connected with suppliers, refineries, farmers, oil mills & traders globally. We are able to source and originate commodities like GMO & Non GMO refined and crude edible oils, different oil seeds that meets any buyers' specifications & demands.. Our vast experience in these markets and excellent commercial relationships with our counterparties and their proven track record enables us to deliver quality goods in a timely manner.

 
Pulses & Beans

CommodityMax  is well-connected with farmers, suppliers & traders worldwide. We are able to source and originate commodities like Red or Yellow lentils & all types of Spices  that meets each buyers' specifications & demand. Our vast experience in these markets and excellent commercial relationships with our counterparties and their proven track record enables us to deliver quality goods in a timely manner.

OTHER DIVISIONS
•	Human Nutrition
•	Paper Division
•	Feed Division","Wholesale Import and Export","2-10 employees","Partnership","Singapore, Singapore","Singapore","commoditymax.com.sg","https://www.linkedin.com/company/commoditymax"
,"HUPSteel Group","HUPSteel Pte Ltd has more than 75 years of solid track record as a reliable supplier and stockist of quality industrial hardware for the oil and gas, chemical and petrochemical, energy, infrastructure, marine and other industries.

Strategically located in Singapore, HUPSteel plays a critical bridging role between the steel mills and the end-users. Our modern warehousing facilities of more than 50,000 sqm maintains one of the Asia Pacific region’s most comprehensive and largest inventories for immediate delivery to our valued customers. Our inventory, totaling more than 50,000 tons, consists of more than 3,000 product line items of tubular, long and flat products.

HUPSteel Limited attained the coveted ISO 9001 accreditation in January 2000 and has since upgraded to ISO 9001: 2015.

We firmly believe in providing total solution to our business partners and have very successfully forged strong and lasting relationship with many of the world’s most prominent corporations. As the preferred business partner, we excel in meeting their needs for steel products and services. 

Consolidating our resources, distribution network and expertise, we are poised to handle maintenance, repair and overhaul (MROs), turnkey projects, long term supply contracts and urgent requirements. In addition to our core products HUPSteel also offers value added services like machining, threading, sandblasting, galvanising, etc. 

Our business is to add value and flexibility to the supply chain of our customers.","Wholesale Import and Export","51-200 employees","Privately Held","Singapore","Singapore","hupsteel.com","https://www.linkedin.com/company/hupsteel"
,"SolAgri Pte Ltd","SolAgri Pte Ltd  is headquartered in Singapore and is involved in the international trade of agriculture products namely Cotton, Cashew, Soybeans, Oilseeds, and Pulses. We source these products primarily from Africa (East and West Africa) through our own procurement network. We ensure selection of right quality of cargo at the origins by thorough testing executed by our staff located at the origins.

Our buyers are the Spinning & Textile mills, Cashew processing factories, Soybean / Sesame crushing plants who import these Agriculture Raw Materials for further processing to satisfy the downstream demand.

SolAgri’s Operations team monitors stock safety and ensures logistical coordination for efficient execution. Our global team keeps close watch on all the operational and trading risks that may affect our business adversely and we act proactively to mitigate these risks.","Wholesale Import and Export","11-50 employees","Privately Held","Singapore, Central Singapore Community Development Council","Singapore","solagri.sg","https://www.linkedin.com/company/solagri-pte-ltd"
,"Avani Resources Pte. Ltd.","AVANI RESOURCES PTE. LTD. is a Singapore incorporated global trading house. We are engaged in trading of commodities used in Infrastructure Industries and Investments in related assets.

We are currently trading in Carbon Products (mainly Metallurgical Coal, Anthracites, Pulverised Coal Injection coal (PCI), Metallurgical Coke, Thermal), Ferro Alloys, Chrome Ores, Iron Ores used as critical components of Steel and Cement production.

Avani is headquartered in Singapore with representing offices / agents in India, China, Vietnam and Indonesia. We have subsidiaries in UAE and South Africa. 

We are a global value chain company with strong position to control physical flows, manage risk, optimise returns and deliver quality with trust to our customers. 

Avani Group is built up by the people with Vision and Innovating ideas. At Avani, we see people as our most valuable asset and every employee plays an important role in our organization. We believe in developing our people and aim to build a strong cohesive team to drive and sustain our business success. 

If you are looking for opportunities to furtherance your expectations and embracing can-do attitude, then you might be the right fit to be a part of ARPL.","Wholesale Import and Export","51-200 employees","Privately Held","Singapore","Singapore","avani.sg","https://www.linkedin.com/company/avani-resources-pte-ltd"
,"Sybil Agri Vietnam Agricultural","We are SYBIL AGRI PTE. LTD - both manufacturer and wholesaler - located in Singapore ensure to supply clean and quality agricultural products from Vietnam as: pepper, coffee, cashew and orther spices in bulk quantity.

SYBIL AGRI - YOU DESERVE THE BEST
Manufacturer - Supplier - Exporter

 Hotline: (+65) 8874 6149 - (+84) 908936912
 Email: contact@sybilagri.com
 Website: https://sybilagri.com/

#SybilAgri #SybilAgriVietnam #SybilAgriSingapore #VietnamAgriculturalProduct #Spices #Herbs","Wholesale Import and Export","51-200 employees","Public Company","Singapore","Singapore","sybilagri.com","https://www.linkedin.com/company/sybilagri"
,"Optimus Auto Trading Pte Ltd","We are one of the trust-able car exporter in Singapore, serving clients all over the world such as Africa, Caribbean, America, Europe, Asia, Oceania and many more. 

We sell brand-new as well as used-car from Singapore as per our clients requests. Give us your specifications and we will find the car for you. We value long-term working relationships with all of our clients who are the utmost importance to our business. 

Our reputation, ethics, and integrity are the main integral parts in our business which you will feel rest assured when dealing with us.","Wholesale Import and Export","2-10 employees","Privately Held","Singapore, Singapore","Singapore","optimusautotrading.com","https://www.linkedin.com/company/optimus-auto-trading-pte-ltd"
,"SEASONS OVERSEAS PTE LTD","Seasons Overseas is the vital player in global trading and participates in the entire value chain of high-quality agricultural products focusing on Rice, Pulses, Lentils, Sugar, Grains, Oil seeds and Animal Feed business. Our sourcing strengths is in various origination countries and have strong trading relationship with international buyer’s around the world. For more information please visit our website www.sopl.sg","Wholesale Import and Export","11-50 employees","Privately Held","SINGAPORE , SINGAPORE","Singapore","sopl.sg","https://www.linkedin.com/company/seasons-overseas-pte-ltd"
,"Anjali's Curry","Join us on a gastronomic journey and culinary experience that will stimulate all senses for Indian Cuisine lovers all over the world. We aim to preserve the heritage and tradition, bringing the authentic and unique flavour of the South Indian cuisine from supermarkets to your kitchen.","Wholesale Import and Export","11-50 employees","Privately Held","Singapore","Singapore","anjaliscurry.com","https://www.linkedin.com/company/anjalis-curry-dsg"
,"Grains and Spices Pte Ltd","From a humble beginning in 2010 , Grains and Spices Pte Ltd (formerly known as Grains and Spices) has grown multifold in business volume and market reach.
During the past 3 years of operation, GSPL has created both value as well as illustrious business relations in the commodities world. This has enabled us in emerging as one of the most reliable trader in the key commodities handled by us. Our key products are corn, wheat, soybean,protein meals, spices, sugar, and rice.
In today’s world where geographic location of an entity is no more a barrier for international business due to the ever improving communication infrastructure, GSPL had been very successful in building its glossary of products (selected from various countries) and an impressive client portfolio that includes clients from China, India, Indonesia,  Malaysia,  Russia, Turkey, UAE, Ukraine, UK, and USA.
We offer trade and brokerage services to fulfill your needs for Human consumption and animal feed.
we offer you various grade of ingredients packed in bulk ,PP Bags as per your required specifications.
We handle order from containerized shipments and bulk vessel loads. 
We serve our clients as a trusted business partners and committed to mutually sheared values. 
We can offer you 100% Genuine and competitive prices and swift deliveries from our suppliers","Wholesale Import and Export","2-10 employees","Privately Held","Singapore, Singapore","Singapore","grainsandspices.com.sg","https://www.linkedin.com/company/grains-and-spices-pte-ltd"
,"Asia Global Commodities Development Pte. Ltd","Asia Global Commodities Development Pte. Ltd has been gradually growing to be a leading worldwide miller and exporter of foods and agricultural products focusing on rice, pepper, coffee, sugar, desiccated coconut, cashew nut, yellow corn, and other food stuffs,…

We have 6 rice mills in Can Tho City and Dong Thap Province - Vietnam, Pakistan and India with total capacity of 300,000 metric tons per year. We do export of approx. 250,000 metric tons per year focusing on Europe market, USA, Southeast Asia, Africa.

Through a well-established network of our own manufacturers and associate processors, we are able to supply high quality foods and agricultural commodities at best prices. We are counting on innovation, flexibility and a hands – on approach to keep us on top in an ever changing global market.","Wholesale Import and Export","51-200 employees","Privately Held","Singapore","Singapore","asiaglobalcommodities.com","https://www.linkedin.com/company/asia-global-commodities-development-co-ltd"
