company_id,company_name,company_name_variants,domain,website,email,phone,fax,address,postal_code,country,location,employee_count,company_type,primary_services,description,linkedin_url,source,source_url,membership_info,is_hiring,hiring_job_count,hiring_roles,hiring_search_terms,source_records
4e88b4dc,LIFA PTE LTD,,lifa.sg,https://lifa.sg,sales@lifa.sg,62504388,,,,Singapore,,,,Food Processing  Equipment & Supplies,"- Specialised in food processing/manufacturing, catering/kitchen machinery & equipment - Sales of brand new/re-conditioned machinery & equipment - Sales/purchase of 2nd hand machines - Strong...",,AgriBiz,https://www.agri-biz.com/company-details/lifa-pte-ltd/,,False,,,,"[{""company_name"": ""LIFA PTE LTD"", ""category"": ""Food Processing  Equipment & Supplies"", ""description"": ""- Specialised in food processing/manufacturing, catering/kitchen machinery & equipment - Sales of brand new/re-conditioned machinery & equipment - Sales/purchase of 2nd hand machines - Strong..."", ""website"": ""https://lifa.sg"", ""phone"": ""(65) 6250 4388"", ""email"": ""sales@lifa.sg"", ""detail_url"": ""https://www.agri-biz.com/company-details/lifa-pte-ltd/""}]"
1fcb5591,LIM THIAM CHWEE FOOD SUPPLIER PTE LTD,,ltcfood.com.sg,https://ltcfood.com.sg,Ltcfood@singnet.com.sg,67781884,,,,Singapore,,,,Fruits & Vegetables - Importers & Exporters,"- Specialise in imports, distribution of all fresh vegetables, fruits and wet provisions (e.g. tofu, noodles, etc) - Over 40 years of experience with reliability...",,AgriBiz,https://www.agri-biz.com/company-details/lim-thiam-chwee-food-supplier-pte-ltd/,,False,,,,"[{""company_name"": ""LIM THIAM CHWEE FOOD SUPPLIER PTE LTD"", ""category"": ""Fruits & Vegetables - Importers & Exporters"", ""description"": ""- Specialise in imports, distribution of all fresh vegetables, fruits and wet provisions (e.g. tofu, noodles, etc) - Over 40 years of experience with reliability..."", ""website"": ""https://ltcfood.com.sg"", ""phone"": ""(65) 6778 1884"", ""email"": ""Ltcfood@singnet.com.sg"", ""detail_url"": ""https://www.agri-biz.com/company-details/lim-thiam-chwee-food-supplier-pte-ltd/""}]"
dcb12d8f,MUA HIN POULTRY FARM PTE LTD,HENG GUAN POULTRY INDUSTRIES PTE LTD,hengguan.com.sg,https://hengguan.com.sg,may@hengguan.com.sg,67568070,,,,Singapore,,,,Frozen Foods - Distributors & Wholesalers,"Mua Hin Poultry Farm Pte Ltd, established in 1977, is a leading supplier of chilled ducks and frozen foods in Singapore. With an integrated supply...",,AgriBiz,https://www.agri-biz.com/company-details/mua-hin-poultry-farm-pte-ltd/,,False,,,,"[{""company_name"": ""MUA HIN POULTRY FARM PTE LTD"", ""category"": ""Frozen Foods - Distributors & Wholesalers"", ""description"": ""Mua Hin Poultry Farm Pte Ltd, established in 1977, is a leading supplier of chilled ducks and frozen foods in Singapore. With an integrated supply..."", ""website"": ""https://hengguan.com.sg"", ""phone"": ""(65) 6756 8070"", ""email"": null, ""detail_url"": ""https://www.agri-biz.com/company-details/mua-hin-poultry-farm-pte-ltd/""}, {""company_name"": ""HENG GUAN POULTRY INDUSTRIES PTE LTD"", ""category"": ""Ducks - Importers & Exporters"", ""description"": ""Heng Guan Poultry Industries Pte Ltd is 1 of the main duck meat producers in Singapore and have been supplying the local market with chilled..."", ""website"": ""https://hengguan.com.sg"", ""phone"": ""(65) 6756 8070"", ""email"": ""may@hengguan.com.sg"", ""detail_url"": ""https://www.agri-biz.com/company-details/heng-guan-poultry-industries-pte-ltd/""}]"
91f2a6a2,SIONG HONG SEAFOOD ENTERPRISE PTE LTD,Siong Hong Seafood Enterprise Pte Ltd,newfresh.sg,https://newfresh.sg,sales.newfresh@hotmail.com,90685788,+65 6853 7666,15 Woodlands Loop #03-54/55/56Singapore 738322,738322,Singapore,,,,Fish & Seafood Processing Establishments,One-Stop Shop For All Your Seafood Needs & Customise Cutting Services. Siong Hong Seafood specialises in live cockles and is the largest licensed supplier of...,,"AgriBiz, SFMA",https://www.agri-biz.com/company-details/siong-hong-seafood-enterprise-pte-ltd/,SFMA Member,False,,,,"[{""company_name"": ""SIONG HONG SEAFOOD ENTERPRISE PTE LTD"", ""category"": ""Fish & Seafood Processing Establishments"", ""description"": ""One-Stop Shop For All Your Seafood Needs & Customise Cutting Services. Siong Hong Seafood specialises in live cockles and is the largest licensed supplier of..."", ""website"": ""https://newfresh.sg"", ""phone"": ""(65) 9068 5788"", ""email"": ""sales.newfresh@hotmail.com"", ""detail_url"": ""https://www.agri-biz.com/company-details/siong-hong-seafood-enterprise-pte-ltd/""}, {""company_name"": ""Siong Hong Seafood Enterprise Pte Ltd"", ""address"": ""15 Woodlands Loop #03-54/55/56Singapore 738322"", ""postal_code"": 738322, ""tel"": ""+65 6756 1788 / +65 6753 1788"", ""fax"": ""+65 6853 7666"", ""email"": ""sionghong@hotmail.com"", ""website"": ""https://www.newfresh.sg"", ""description"": ""Processing and preserving of seafood. Wholesale of livestock, meat, poultry, eggs and seafood (including fresh and frozen)"", ""source_url"": ""https://www.sfma.org.sg/member/info.php?cid=siong-hong-seafood-enterprise-pte-ltd""}]"
1d7d60f8,ESSENTIALS (SG) PTE LTD,,essentialsgroup.sg,https://essentialsgroup.sg,info@essentialsgroup.sg,69318800,,,,Singapore,,,,Food Processing  Equipment & Supplies,"One-stop supplies for your food processing\'s consumables & accessories. Customised service, ordering procedure, price plan, payment methods for individual customers ranging from food processing factories,...",,AgriBiz,https://www.agri-biz.com/company-details/essentials-sg-pte-ltd/,,False,,,,"[{""company_name"": ""ESSENTIALS (SG) PTE LTD"", ""category"": ""Food Processing  Equipment & Supplies"", ""description"": ""One-stop supplies for your food processing\\'s consumables & accessories. Customised service, ordering procedure, price plan, payment methods for individual customers ranging from food processing factories,..."", ""website"": ""https://essentialsgroup.sg"", ""phone"": ""(65) 6931 8800"", ""email"": ""info@essentialsgroup.sg"", ""detail_url"": ""https://www.agri-biz.com/company-details/essentials-sg-pte-ltd/""}]"
26cd43b5,FOODNET INTERNATIONAL HOLDINGS PTE LTD,,foodnetinternational.com,https://foodnetinternational.com,inquiry@foodnetinternational.com,68416068,,,,Singapore,,,,Consultants,Core competencies include developing food safety solutions as well as the designing and implementation of food related projects. We possess in-house capabilities to develop professional...,,AgriBiz,https://www.agri-biz.com/company-details/foodnet-international-holdings-pte-ltd/,,False,,,,"[{""company_name"": ""FOODNET INTERNATIONAL HOLDINGS PTE LTD"", ""category"": ""Consultants"", ""description"": ""Core competencies include developing food safety solutions as well as the designing and implementation of food related projects. We possess in-house capabilities to develop professional..."", ""website"": ""https://foodnetinternational.com"", ""phone"": ""(65) 6841 6068"", ""email"": ""inquiry@foodnetinternational.com"", ""detail_url"": ""https://www.agri-biz.com/company-details/foodnet-international-holdings-pte-ltd/""}]"
7c921ee1,GREEN VALLEY 61 TRADING LLP,,greenvalley61.com.sg,https://greenvalley61.com.sg,greenvalley61.sg@gmail.com,68023661,,,,Singapore,,,,Food Automation Systems,"We provide commercial/industrial central kitchen machinery from Taiwan, Korea and Japan, capable of replacing labour with highly efficient rates and solving food processing problems food...",,AgriBiz,https://www.agri-biz.com/company-details/green-valley-61-trading-llp/,,False,,,,"[{""company_name"": ""GREEN VALLEY 61 TRADING LLP"", ""category"": ""Food Automation Systems"", ""description"": ""We provide commercial/industrial central kitchen machinery from Taiwan, Korea and Japan, capable of replacing labour with highly efficient rates and solving food processing problems food..."", ""website"": ""https://greenvalley61.com.sg"", ""phone"": ""(65) 6802 3661"", ""email"": ""greenvalley61.sg@gmail.com"", ""detail_url"": ""https://www.agri-biz.com/company-details/green-valley-61-trading-llp/""}]"
0bc4bd0e,JTECH AUTOMATION PTE LTD,,jtechautomation.com.sg,https://jtechautomation.com.sg,sales@jtechautomation.com.sg,63393616,,,,Singapore,,,,Conveyors,"JTech Automation Pte Ltd creates customised machines that improve people's work life in many industries with cutting-edge technologies in Robotics, Vision, Laser, Pneumatics and Servo...",,AgriBiz,https://www.agri-biz.com/company-details/jtech-automation-pte-ltd/,,False,,,,"[{""company_name"": ""JTECH AUTOMATION PTE LTD"", ""category"": ""Conveyors"", ""description"": ""JTech Automation Pte Ltd creates customised machines that improve people's work life in many industries with cutting-edge technologies in Robotics, Vision, Laser, Pneumatics and Servo..."", ""website"": ""https://jtechautomation.com.sg"", ""phone"": ""(65) 6339 3616"", ""email"": ""sales@jtechautomation.com.sg"", ""detail_url"": ""https://www.agri-biz.com/company-details/jtech-automation-pte-ltd/""}]"
613a4e5b,KIM TECK HONG PTE LTD,,,,,67797377,,,,Singapore,,,,Fruits & Vegetables - Importers & Exporters,"Importers & exporters, wholesalers & traders of: • Vegetables • Red onion • White onion • Garlic • Ginger • Potatoes • Sweet potatoes •...",,AgriBiz,https://www.agri-biz.com/company-details/kim-teck-hong-pte-ltd/,,False,,,,"[{""company_name"": ""KIM TECK HONG PTE LTD"", ""category"": ""Fruits & Vegetables - Importers & Exporters"", ""description"": ""Importers & exporters, wholesalers & traders of: \u2022 Vegetables \u2022 Red onion \u2022 White onion \u2022 Garlic \u2022 Ginger \u2022 Potatoes \u2022 Sweet potatoes \u2022..."", ""website"": null, ""phone"": ""(65) 6779 7377"", ""email"": null, ""detail_url"": ""https://www.agri-biz.com/company-details/kim-teck-hong-pte-ltd/""}]"
968991c9,MS VENTURE PTE LTD,,msventure.com.sg,https://msventure.com.sg,hello@msventure.com.sg,82619938,,,,Singapore,,,,Packaging Materials,Retail Outlet & Showroom 538 Geylang Road #01-01/02/03 The Arizon Singapore 389493 Nature of Business Established manufacturer in F&B packaging • Food-grade take-away containers with...,,AgriBiz,https://www.agri-biz.com/company-details/ms-venture-pte-ltd/,,False,,,,"[{""company_name"": ""MS VENTURE PTE LTD"", ""category"": ""Packaging Materials"", ""description"": ""Retail Outlet & Showroom 538 Geylang Road #01-01/02/03 The Arizon Singapore 389493 Nature of Business Established manufacturer in F&B packaging \u2022 Food-grade take-away containers with..."", ""website"": ""https://msventure.com.sg"", ""phone"": ""(65) 8261 9938"", ""email"": ""hello@msventure.com.sg"", ""detail_url"": ""https://www.agri-biz.com/company-details/ms-venture-pte-ltd/""}]"
