"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"ISPE Singapore Affiliate","The Singapore Affiliate was registered and launched in June 2000 and has now over 300 Members plus 2,000 supporters predominantly in Singapore.

The Affiliate is managed by an Executive Committee composed of the senior management of the major global and local pharmaceutical companies and their main service providers in Singapore.

Our Mission: The mission of the ISPE Singapore Affiliate is to develop an active events calendar and provide education and training services in Singapore and South East Asia for pharmaceuticals manufacture and GMP compliance.

Our Members: All scientific and technical areas of the pharmaceutical manufacturing industry are represented among the ISPE Membership. Engineers, microbiologists, chemists, QA/QC, production, process development, pharmacists, regulatory and training personnel, academia, suppliers, and other professionals contribute their expertise to the industry through their participation in ISPE activities.","Pharmaceutical Manufacturing","2-10 employees","Non Profit","Singapore","Singapore","ispesingapore.org","https://www.linkedin.com/company/ispe-singapore-affiliate"
,"Credevo","Credevo is a global Clinical Trial Organization (CTO) providing comprehensive clinical trial services for pharmaceuticals, biologics, medical devices and healthcare products.

Based in Singapore, we operate across the Asia-Pacific region, the United States, and India. We provide strategic advisory, technical expertise, and full-scale operational support along with customized solutions for your clinical trial projects. 

Our core services include:

 - Trial Feasibility & Site Engagement: Leveraging an access of over 150,000 investigators and sites, we ensure efficient country strategy, site identification, and feasibility assessments.

 - Clinical Trials Strategy & Execution: Acting as your extended clinical development arm, we provide comprehensive support in the conceptualization, design, and execution of phase I-IV trials & BA/BE studies.

 - Products, Tools & Consultation: We offer a range of products and tools designed to support your clinical trials, along with consultancy services in clinical development to commercialization. 

As a CTO, we make planning and running clinical trials easier with solutions that fit your needs.","Pharmaceutical Manufacturing","2-10 employees","Privately Held","singapore","Singapore","credevo.com","https://www.linkedin.com/company/credevo"
,"Pacific Agriscience Pte Ltd","Pacific Agriscience is based on a strong and strategic vision. 

A vision to build a world-class cosmopolitan organization with a culture based on creativity, quality and service excellence. Adding value to the businesses of our customers, associates and cooperators. 

A desire to create and to bring agricultural technologies and inputs to the farming community in the most efficient manner.

A need to contribute to the advancement of agricultural science aimed at sustainable development of natural resources for the benefit of current and future generations around the world.

We market generic pesticides, fertilizer raw materials, specialty agchemicals and industrial specialty chemicals. We develop markets for a range of proprietary specialty agchemicals and seek national distributors for these products. We are also developing new formulations of generic agchemicals.

Contact +65 6222 9753 or email us at cs@pacificagriscience.com for further enquiries.","Chemical Manufacturing","2-10 employees","Privately Held","Singapore","Singapore","pacificagriscience.com","https://www.linkedin.com/company/pacific-agriscience-pte-ltd"
,"Shandi","Founded in 2020 and headquartered in Singapore, Shandi Global emerged with a mission to address the growing challenges in the global food system.

We provide game-changing solutions for businesses, brands and most importantly for the Planet with our animal free Protein innovations ,which require significantly less land , water and greenhouse gas emissions. 

Shandi Global protein stands out as a breakthrough in nutrition and taste. Engineered using a proprietary 5-patent process, these proteins are clean, natural, and free from artificial additives. 
Key benefits include:
• Superior Digestibility 
• Complete Nutrition ( Select best and complete amino acid profile )
• Exceptional Taste and Texture 
• Zero Cholesterol & Clean Ingredients

By leveraging Shandi's versatile proteins, businesses can develop creative food products that redefine junk food categories, delivering protein-rich alternatives from bars , beverages , bakery, alternative meat and novel food and beverages that benefit from a Protein boost. One standout innovation is Forever by Shandi, the flagship brand offering plant-based chicken products rivaling animal-based counterparts in taste, texture, and nutritional value.
With a global presence, Shandi Global partners with businesses to bridge the nutritional gap by improving food distribution networks , increasing awareness about healthy eating. and making nutritious food more accessible to underserved communities , along the way promoting  sustainability and nature based innovative products for a healthier future.

Spearheading this transformation are our Co-founders Dr. Reena and Dr. Gaurav Sharma. They bring unparalleled expertise and a shared passion for health, sustainability, and impactful solutions.

Let us work together towards a world, where good nutrition is available to all and secure food safety to feed the future population.","Food and Beverage Manufacturing","2-10 employees","Privately Held","Singapore, West Region","Singapore","shandiglobal.com","https://www.linkedin.com/company/shandi-global-pte-ltd"
,"Strides Pharma Global Pte Ltd","Strides Pharma Global is the international headquarters of the company.


The company is currently setting up a state of the art manufacturing facility primarily to supply the US, Australia, and EU markets.","Pharmaceutical Manufacturing","2-10 employees","Privately Held","Singapore","Singapore","stridesshasun.com","https://www.linkedin.com/company/strides-pharma-global-pte-ltd"
,"Africa: Pharma Market Access","Africa is the world's second-largest and second-most populous continent, after Asia in both cases. The continent is surrounded by the Mediterranean Sea to the north, the Isthmus of Suez and the Red Sea to the northeast, the Indian Ocean to the southeast and the Atlantic Ocean to the west. The continent includes Madagascar and various archipelagos. It contains 54 fully recognised sovereign states, eight territories and two de facto independent states with limited or no recognition. Algeria is Africa's largest country by area, and Nigeria is its largest by population. African nations cooperate through the establishment of the African Union, which is headquartered in Addis Ababa.","Pharmaceutical Manufacturing","2-10 employees","Self Owned","Singapore","Singapore","pharmathing.com","https://www.linkedin.com/company/africa-pharma-market-access"
,"Singrow Pte Ltd","Singrow is a developer of innovative agritechnology solutions for producing premium-quality fruits and vegetables. Leveraging our proprietary platform, we develop the freshest, best quality produce, such as non-GMO strawberry varieties in red and white aesthetics. More importantly, we focus our efforts on developing technologies that would help overcome ongoing challenges, such as global supply barriers, to meet the demand of the world’s most discerning consumers.","Food and Beverage Manufacturing","2-10 employees","Privately Held","Singapore, Singapore","Singapore","singrow.com","https://www.linkedin.com/company/singrow"
,"GENERATION AV","Generation AV represents world class audio and video brands in the Asia Pacific market.  With team members located across the region, we manage sales, marketing, project design and technical support for each brand.  Generation AV focuses on both the Professional and Residential markets, and we are everything you would expect from a brand’s regional sales and support office.

Brands represented include Martin Audio, LEA Professional, Optimal Audio, HH Electronics, iMAGsystems, Sonance, James Loudspeaker and iPORT.","Appliances, Electrical, and Electronics Manufacturing","2-10 employees","Privately Held","Singapore, Singapore","Singapore","generationav.net","https://www.linkedin.com/company/generationav"
,"Hivebotics","At Hivebotics we are productivity fanatics and believe in freeing humans from repetitive tasks. 

We are currently a building a future where facilities are cleaned, maintained and serviced entirely by robots. Our flagship product - Abluo is designed to offer multifunctional cleaning of restrooms, predictive maintenance of HVAC issues as well as conduct autonomous security patrols. Soon you could be having lunch in Singapore and get a notification that your fleet of robots has completed sanitising your building in New York.","Appliances, Electrical, and Electronics Manufacturing","2-10 employees","Privately Held","Singapore","Singapore","hivebotics.tech","https://www.linkedin.com/company/hivebotics-official"
,"KOGANEI Asia Pte Ltd","KOGANEI Asia - Factory automation & labor-saving.
Manufacture and sales of pneumatic system products, static electricity removing units, electric actuators, centralized lubrication equipment, and environmental/hygiene related products, pneumatic singapore.","Industrial Machinery Manufacturing","2-10 employees","Public Company","Singapore, singapore","Singapore","koganeiasia.com","https://www.linkedin.com/company/koganei-asia-pte-ltd"
